"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,7208,1,"12739708",群季貿易有限公司,臺中市,臺中市北屯區河北東街８巷１號１樓,"04-22473218",M,L,M,L,M,L,M,L,L,L
E,7208,2,"76488403",龍陞鋼鐵有限公司,高雄市,高雄市仁武區竹楠路３３巷３２號１樓,"07-9552121",K,L,J,L,M,L,M,J,K,L
E,7208,3,"20936528",紅石工業股份有限公司,桃園市,桃園市桃園區莊一街３３號１４樓,"03-3023616",M,L,L,G,L,F,L,G,M,I
E,7208,4,"54217630",禾詮鋼鐵有限公司,高雄市,高雄市苓雅區青年二路４７號５樓之２　,"07-3387113",M,L,M,K,M,J,M,J,M,J
E,7208,5,"27271130",維田科技股份有限公司,新北市,新北市中和區建一路１８６號１５樓之１,"02-82262881",I,E,F,A,G,A,G,A,H,A
E,7208,6,"54194209",桂屹船舶用品供應有限公司,高雄市,高雄市苓雅區永富街８４號,"07-3381669",L,L,L,L,L,L,L,L,L,L
E,7208,7,"12833112",柏達開發科技有限公司,臺南市,臺南市永康區中華西街１９６巷３０號１１樓之１,"(06) 2422560",M,L,M,L,M,L,M,L,M,L
E,7208,8,"59315006",璋釔鋼鐵廠股份有限公司,彰化縣,彰化縣伸港鄉新港路６０之２號,"04-7983100",K,J,J,H,K,H,K,F,L,G
E,7208,9,"24524999",承振貿易有限公司,高雄市,高雄市鼓山區鼓山一路５３之１號１樓　,"07-5318693",L,L,L,K,L,K,L,K,L,K
E,7208,10,"22082130",成川鋼管股份有限公司,彰化縣,彰化縣花壇鄉長沙村鳥松巷７號,"04-7862747",L,I,A,H,I,K,J,J,H,I
E,7208,11,"80231398",嘉旭有限公司,臺南市,臺南市永康區大橋二街２４號８樓之１,"06-2020674",L,L,L,L,L,L,L,L,L,L
E,7208,12,"23225537",正熊機械股份有限公司,高雄市,高雄市大寮區大發工業區裕民街１６號,"07-7872601",L,J,J,I,I,H,K,H,J,E
E,7208,13,"15176809",金合發鋼鐵股份有限公司,臺北巿,臺北巿成都路１０４號２樓,"02-23118161",C,F,A,A,A,A,A,A,B,B
E,7208,14,"30414175",中國鋼鐵股份有限公司,高雄巿,高雄巿小港區臨海工業區中鋼路１號,"(07)802-1111",A,A,A,A,A,A,A,A,A,A
E,7208,15,"96975583",中貿國際股份有限公司,高雄巿,高雄巿前鎮區成功二路８８號１０樓,"07-332-2168",A,A,A,A,A,A,A,A,A,A
E,7208,16,"85800192",中國鋼鐵結構股份有限公司,高雄市,高雄市燕巢區中興路５００號　,"07-6168688",L,E,L,A,L,A,J,A,L,A
E,7208,17,"79868482",久昌企業行,高雄市,高雄市苓雅區昇平街４９號１樓,"07-3320091",L,L,L,K,M,K,M,K,M,K
E,7208,18,"69750098",銓宏鋼鐵股份有限公司,臺南巿,臺南巿南區新樂路３６之１號,"06-2619565",L,K,L,I,J,H,J,E,J,I
E,7208,19,"11529802",春源鋼鐵工業股份有限公司,台北巿,台北巿復興北路５０２號６Ｆ、６Ｆ–１、７Ｆ、７Ｆ–１,"02-25018111",A,D,A,A,A,A,A,A,A,A
E,7208,20,"07838854",中鴻鋼鐵股份有限公司,高雄市,高雄市橋頭區芋寮里芋寮路317號,"07-6117171",A,A,A,A,A,A,A,A,A,A
E,7208,21,"28562059",佳品研磨工具有限公司,新北市,新北市三重區光復路一段３０巷４０號,"02-85112518",L,L,L,L,L,L,L,L,L,L
E,7208,22,"24631506",定紳貿易有限公司,桃園市,桃園市龜山區湖山街４００號,"03-3293923",M,K,M,J,M,J,M,J,M,J
E,7208,23,"28312454",翊聖鋼鐵有限公司,臺中市,臺中市北區博館路６５巷５號,"04-23201305",L,L,L,J,L,I,M,J,M,K
E,7208,24,"89740041",榮承船舶實業有限公司,高雄巿,高雄巿鹽埕區必信街２４號,"07-533-3332",L,L,L,L,L,L,L,L,L,L
E,7208,25,"34005519",豐祥金屬工業股份有限公司,新北市,新北市新莊區新樹路三一五巷一五號,"02-22028393",L,E,J,A,J,A,J,A,J,A
E,7208,26,"28895562",新倛有限公司,新北市,新北市板橋區大觀路２段２０之１號４樓,"02-27733005",M,L,M,L,M,L,M,L,M,L
E,7208,27,"54825634",佛格聯合有限公司　,高雄市,高雄市前鎮區中山二路９１號１０樓之９　,"07-3333979",L,K,K,I,L,M,M,M,M,L
E,7208,28,"12911236",全福彩科技股份有限公司,桃園市,桃園市蘆竹區海湖村海山中街５１之１號,"03-4522016",M,L,M,L,M,M,M,M,M,M
E,7208,29,"58650902",臺灣化學纖維股份有限公司,彰化縣,彰化縣彰化巿中山路３段３５９號,"02-27122211",A,A,A,A,A,A,A,A,A,A
E,7208,30,"23986634",台朔重工股份有限公司,高雄市,高雄市仁武區竹後里水管路100號,"07-3711411",A,A,A,A,A,A,A,A,A,A
E,7208,31,"20937701",溢井有限公司,台北巿,台北巿南京東路３段２６９巷６號２樓之４,"02-27155702",L,L,L,K,L,K,L,K,M,L
