"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,6006,1,"82903441",薩摩亞商旺隆發展有限公司臺灣分公司,臺中市,臺中市大雅區二和里雅潭路四段370巷13號5樓,"04-25688746#218",L,F,L,J,M,M,M,M,M,M
E,6006,2,"22340974",純棉實業有限公司,新北市,新北市三重區重新路５段６０９巷８號５樓,"02-29991186",M,L,M,L,M,L,M,L,M,L
E,6006,3,"53480014",鼎祥國際興業有限公司,嘉義市,嘉義市西區福安里德安路１４１號１樓,"05-2348898",M,L,L,H,M,I,L,J,M,J
E,6006,4,"53938879",四九六創新時尚紡織事業有限公司,臺北市,臺北市中山區民權東路3段35號11樓,"02-77027555",L,L,L,L,M,L,L,L,L,L
E,6006,5,"16620385",友邦開發股份有限公司,臺北市,臺北市內湖區港墘路２００號６樓之３,"02-87511550",M,L,M,K,M,K,M,J,M,J
E,6006,6,"34047052",愛富實業有限公司,臺北市,臺北市大安區復興南路１段１２９號１４樓之３,"02-27728579",M,L,M,K,M,K,M,K,M,K
E,6006,7,"27831268",臺灣寶欣貿易有限公司,新北市,新北市汐止區茄苳路８８巷６弄２４號３樓,"02-86487472",M,L,M,L,M,L,M,L,M,L
E,6006,8,"24953082",永津國際物流有限公司,臺北市,臺北市大同區承德路３段２２９號４樓之５,"02-25923280",L,L,L,L,M,L,M,M,M,L
E,6006,9,"23611762",科陽國際企業有限公司,臺北巿,臺北巿北投區懷德街８８號１樓,"02-28233353",M,M,L,L,M,L,M,L,M,L
E,6006,10,"53955454",先進製衣股份有限公司,臺北市,臺北市松山區南京東路５段１８８號８樓之３,"02-27483188",L,K,L,H,L,H,L,H,M,J
E,6006,11,"24896908",維瑀國際有限公司,桃園市,桃園市桃園區中正路１２４７號１１樓之１,"03-3268986",L,L,M,K,M,L,L,K,M,K
E,6006,12,"29078842",優聚企業股份有限公司,臺北市,臺北市信義區基隆路２段１４９之１６號５樓,"02-27332996",M,L,M,K,M,K,M,J,M,J
E,6006,13,"24229075",璦之夢國際有限公司,嘉義市,嘉義市西區玉山路１８６巷２０號１樓,"05-2359529",L,L,L,L,L,M,L,M,L,M
E,6006,14,"70384774",艾莉爾實業股份有限公司,新北市,新北市五股區五工路１０２號（５樓）,"(02)2290-0678",M,L,M,L,M,M,M,M,M,L
E,6006,15,"84686413",便利國際有限公司,桃園市,桃園市桃園區中山里國際路一段１１８８巷２２號１樓,"02-2722-6771",L,L,L,L,L,L,L,L,L,L
E,6006,16,"27555663",京阜國際實業有限公司,臺北市,臺北市大同區重慶北路３段１５２巷３３號１樓,"02-25941920",M,L,M,L,M,L,M,L,M,L
E,6006,17,"54531167",永瀧興業有限公司,桃園市,桃園市桃園區大興西路一段１６８號３樓,"03-3562512",M,J,M,G,L,E,M,G,M,H
E,6006,18,"28486588",全程貿易有限公司,臺北市,臺北市大同區承德路三段１１０號３樓,"(02)2586-4998",M,L,M,L,M,M,M,M,M,M
E,6006,19,"97037165",澳美針織有限公司,新北市,新北市三重區重新路５段６０９巷１４號７樓之１３,"02-29956199",M,L,M,K,M,K,M,K,L,K
E,6006,20,"89551717",智貫企業有限公司,新北市,新北市中和區中山路二段９８號９樓,"02-2247-2288",L,L,L,L,M,L,L,M,L,M
E,6006,21,"30954622",匯總實業有限公司,臺北市,臺北市內湖區新湖一路７３號２樓,"02-27941999",L,M,L,L,K,L,K,L,K,L
E,6006,22,"80173849",錦詳企業股份有限公司,桃園市,桃園市桃園區中正路１０７１號７樓之４,"03-3168562",M,L,M,L,L,L,L,L,M,J
E,6006,23,"53814928",優和紡織股份有限公司,彰化縣,彰化縣彰化市平和七街９號,"04-7625676",M,L,M,L,M,L,M,L,L,L
E,6006,24,"82857426",東烜股份有限公司,臺北市,臺北市大同區民族西路１９５號２樓,"0973610620",M,K,M,K,M,M,M,M,M,M
E,6006,25,"24662459",安紡紡織有限公司,高雄市,高雄市路竹區大智路４０號１樓　　,"0989563658",M,L,M,L,M,L,M,L,M,L
E,6006,26,"13090709",安納實業股份有限公司,台北市,台北市中山區建國北路二段１１９號６樓,"02-25080316",M,L,M,L,M,L,M,L,L,L
E,6006,27,"04673990",安復有限公司,新北市,新北市板橋區華興街９２巷６弄８–４號５樓,"02-29558602",M,L,M,K,M,M,M,M,M,M
E,6006,28,"97498259",安潔麗有限公司,新北市,新北市新莊區中港路２０６巷９號２樓,"02-89935668",L,L,L,L,L,L,L,L,L,L
E,6006,29,"12213513",錦匯企業有限公司,新北市,新北市新店區寶興路４５巷６弄９號１樓,"02-29183232",M,L,M,L,M,M,M,L,M,M
E,6006,30,"12760125",庭鋒企業有限公司,新北市,新北市土城區中興路１２之２號（工業區）,"02-22693530",L,L,L,L,L,K,L,K,L,K
E,6006,31,"54264611",安達爾科紡股份有限公司,桃園市,桃園市蘆竹區南崁路１段８３號８樓之１、８樓之２,"03-3526308",M,L,M,L,L,K,M,K,M,K
E,6006,32,"53519741",宜興纖維有限公司,臺北市,臺北市大同區西寧北路８２之５號３樓,"02-25562979",K,L,I,J,H,J,K,K,M,L
E,6006,33,"42780942",恒裕實業有限公司,宜蘭縣,宜蘭縣蘇澳鎮永榮里大同路１０９巷６號,"02-25562979",M,L,L,L,M,L,M,L,L,L
E,6006,34,"16914425",冠邦紡織有限公司,新北市,新北市三重區重新路4段244巷14號(1樓),"02-29742808",L,L,M,K,M,K,M,K,M,J
E,6006,35,"89481488",勤圃股份有限公司,臺北巿,臺北巿大安區仁愛路三段一一七之五號三樓,"",M,L,M,K,M,I,M,I,M,J
E,6006,36,"80713563",艾立德企業有限公司,臺北市,臺北市信義區富陽街２０巷３之１號,"02-87327215",M,L,M,J,M,J,M,J,M,J
E,6006,37,"16154022",帛信實業有限公司,台北巿,台北巿大同區西寧北路８２之５號３樓,"02-2550-3561",M,L,M,L,M,L,M,L,M,K
E,6006,38,"45047070",藝之華企業股份有限公司,桃園市,桃園市中壢區文化里吉林二路31巷2號4樓,"03-4629525-6",M,L,M,M,M,M,M,M,M,M
E,6006,39,"89485111",雅織流行股份有限公司,臺北巿,臺北巿大同區延平北路二段二０二號一０樓之一,"02-25533384",K,B,H,A,I,A,I,A,I,A
E,6006,40,"27775081",亞適國際有限公司,新北市,新北市新莊區新北大道３段５號２２樓之２,"02-85227980",L,K,L,J,L,J,L,J,L,J
E,6006,41,"27232995",香港商凱仕有限公司台灣分公司,臺北市,臺北市中山區天祥路６１巷２０號６樓,"02-25964251",M,L,M,K,M,K,M,K,M,K
E,6006,42,"89953352",豪紳纖維科技股份有限公司,台北巿,台北巿大安區復興南路二段１６６號１１樓,"02-27082136",J,H,I,C,I,C,I,C,I,D
E,6006,43,"84774339",亞帝克股份有限公司,台北巿,台北巿內湖區洲子街六十九號六樓,"02-25461099",L,K,L,J,L,J,L,J,L,K
E,6006,44,"55711551",百秀製帽股份有限公司,新北市,新北市汐止區新台五路１段７９號１７樓之１３,"02-26989566",M,L,L,L,L,L,L,L,L,L
E,6006,45,"20981662",香港商貝勒賜有限公司台灣分公司,台北巿,台北巿林森北路５００號５樓之１,"02-25617775",M,L,M,K,M,K,M,J,M,J
E,6006,46,"06004593",倍利開發股份有限公司,彰化縣,彰化縣福興鄉福工路２號,"04-7695147",M,J,M,H,M,I,M,J,M,I
E,6006,47,"53952576",昱陽股份有限公司,臺北市,臺北市大同區南京西路４０６號６樓,"02-25525781",M,L,M,K,M,K,M,K,M,L
E,6006,48,"36093734",棉品實業股份有限公司,桃園市,桃園市大園區大工路126號,"02-29928855",L,L,L,K,L,K,L,K,L,K
E,6006,49,"82956903",宇爵有限公司,新北市,新北市樹林區太元街52號4樓,"02-82281233",M,L,M,M,M,M,M,M,M,M
E,6006,50,"23792911",棉昌企業有限公司,臺中市,臺中市大雅區永和路六甲巷１０之１５號,"04-25677611",M,M,L,L,L,K,L,L,L,K
E,6006,51,"28921338",成春國際行銷股份有限公司,台中市,台中市大里區東湖里科技路３號６樓之６,"04-24922555",L,L,L,L,L,L,L,K,L,K
E,6006,52,"23911326",寶結企業有限公司,桃園巿,桃園巿大興西路２段６號１４樓之３,"03-3013900",L,F,L,A,L,A,L,A,L,A
E,6006,53,"13093190",嘉之有限公司,台北市,台北市大同區延平北路１段１０６號８樓,"02-25563612",M,L,M,L,M,L,M,L,M,L
E,6006,54,"22860307",銀儂實業有限公司,台北巿,台北巿民生東路５段１５７號７樓,"02-27629648",M,L,L,J,M,J,M,J,M,J
E,6006,55,"66611805",創訢國際有限公司,桃園市,桃園市桃園區文中路７４７號１０樓,"03-3797933",M,L,M,L,M,L,M,L,M,M
E,6006,56,"28923292",百渤興業有限公司,新北市,新北市新莊區中正路６１４巷６弄１之１號,"02-29017633",M,L,M,L,M,L,M,L,M,L
E,6006,57,"23278647",明榮企業有限公司,新北市,新北市三重區新北大道２段３７號３樓,"02-29999509",L,K,K,J,L,J,L,I,L,F
E,6006,58,"12656431",業晟實業股份有限公司,臺北市,臺北市中山區建國北路１段１４６號２樓,"02-25042699",M,M,M,L,M,L,M,L,L,J
E,6006,59,"27320358",榮業實業股份有限公司,臺北市,臺北市中山區建國北路１段１４８號２樓,"02-25042699",M,L,M,L,L,L,M,L,M,K
E,6006,60,"12651800",廣豪實業有限公司,台北市,台北市萬華區西藏路５１８號２樓,"02-23042127",M,L,M,L,M,K,M,J,L,J
E,6006,61,"84408024",寶久實業股份有限公司,新北市,新北市中和區員山路５０２號６樓之８,"02-22216685",M,L,L,L,L,L,L,L,L,L
E,6006,62,"42647939",新銳峰投有限公司,新北市,新北市新莊區思源路１７５號９樓,"02-29989905",M,L,M,L,M,L,M,L,M,L
E,6006,63,"86150203",智新實業有限公司,台北巿,台北巿長春路４０號９樓,"02-25676121",L,I,L,C,L,A,L,A,L,A
