"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,8473,1,"50969216",台灣一加製造有限公司,新北市,新北市新莊區景德路８９號２樓,"02-23221850#22",M,L,M,M,M,M,M,M,M,M
E,8473,2,"89637481",群真科技股份有限公司,新北市,新北市中和區建八路２號４樓之３,"02-82272199",L,L,L,L,M,L,L,L,M,L
E,8473,3,"53211692",三亞科技股份有限公司,新北市,新北市土城區中央路4段2號4樓之3,"02-82213168",J,L,J,L,L,M,L,M,L,M
E,8473,4,"54251432",思碩網路科技有限公司,桃園市,桃園市桃園區中正路１２４７號１１樓之２,"0939234690",M,L,M,L,M,L,M,L,M,L
E,8473,5,"27988303",口袋移動科技股份有限公司,新北市,新北市板橋區四川路２段１６巷５號６樓,"02-89672909",L,L,L,F,L,I,L,J,L,H
E,8473,6,"97351852",善元科技股份有限公司,桃園市,桃園市龜山區民生北路一段５７６，５７８號２樓,"03-3214556",H,L,A,L,H,L,F,L,C,L
E,8473,7,"12925724",好科技有限公司,桃園市,桃園市桃園區建國路１２３巷３１號,"02-29569455",M,L,L,L,L,L,L,L,M,L
E,8473,8,"22895571",亞亨企業有限公司,臺北巿,臺北巿中山北路２段９３巷１５號１樓,"02-25602373",M,L,L,L,M,L,M,L,M,L
E,8473,9,"09451737",敏揚企業股份有限公司,台北巿,台北巿南港區南港路３段９９號５樓,"02-27882828",L,L,L,J,L,K,L,J,L,J
E,8473,10,"89620475",亞德美股份有限公司,新北市,新北市中和區建八路１６號６樓之３,"02-82268588",K,L,J,L,J,L,J,L,K,L
E,8473,11,"80604312",肇昇科技有限公司,臺中市,臺中市南區國光路３６５巷３１弄１３號１樓,"04-22856469",L,L,L,L,L,L,L,L,L,L
E,8473,12,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
E,8473,13,"84445800",香港商亞速有限公司台灣分公司,台北巿,台北巿信義區松德路一七一號八樓之三,"02-27281531",M,L,L,L,L,K,M,K,M,J
E,8473,14,"45011782",千如電機工業股份有限公司,桃園市,桃園市楊梅區水美里楊湖路一段四二二號,"03-4788088",C,I,A,E,A,D,A,D,A,E
E,8473,15,"54046377",鏵鼎科技有限公司,新北市,新北市新莊區中正路７０８之６號８樓,"02-29033001",L,J,L,H,L,I,L,J,L,J
E,8473,16,"24289973",愛伯達股份有限公司,臺北市,臺北市大安區信義路二段１３０之１號１１樓之３,"02-23518559",L,L,L,L,L,K,M,K,M,L
E,8473,17,"80294175",上賀國際企業有限公司,新北市,新北市三重區光復路２段８８巷５７號２樓,"02-82837799",M,J,M,G,M,G,M,J,M,J
E,8473,18,"58029440",塞席爾商強盛貿易有限公司台灣分公司,桃園市,桃園市中壢區青峰路１段５９號３樓,"03-3256201",M,M,M,I,M,L,M,L,M,M
E,8473,19,"97489483",大訊科技股份有限公司,桃園市,桃園市八德區長安街３０６號,"03-3759000",A,A,A,A,A,A,A,A,A,A
E,8473,20,"27377773",萬承科技股份有限公司,新北市,新北市汐止區伯爵街９４巷１０號３樓,"02-29519568",M,L,M,L,M,L,M,L,M,L
E,8473,21,"16444732",盈正豫順電子股份有限公司,新北市,新北市新店區寶高路７巷３號１樓,"02-2917-6857",F,H,A,F,A,E,A,F,A,G
E,8473,22,"70722058",浩碩科技股份有限公司,桃園市,桃園市中壢區自強一路１１號,"03-4628567",L,I,J,F,J,E,K,D,J,G
E,8473,23,"23047386",東霖電子股份有限公司,新北市,新北市三重區重新路５段６０９巷１６號９樓之１４,"02-29994755",M,L,M,L,M,L,M,L,M,L
E,8473,24,"42709771",富亦科技有限公司,新北市,新北市中和區中正路１２０３號２樓,"02-22228038",M,L,M,L,M,L,L,L,L,L
E,8473,25,"16130774",兆勁科技股份有限公司竹南分公司,苗栗縣,苗栗縣竹南鎮公義里友義路七七號,"037-580777",B,A,A,A,B,A,C,A,G,A
E,8473,26,"28018950",鑫未來企業有限公司,新北市,新北市板橋區南興路３６號,"02-22692465",M,L,L,L,M,L,M,L,M,L
E,8473,27,"12341051",康舒科技股份有限公司,臺北巿,臺北巿松山區南京東路５段９９號１１樓,"26217672",A,A,A,A,A,A,A,A,A,A
E,8473,28,"82934916",承瀜有限公司,臺北市,臺北市中山區錦州街４６號９樓之５,"09330076811",M,M,M,L,M,M,M,M,M,M
E,8473,29,"12970591",利滙科技股份有限公司,臺中市,臺中市大雅區中清路三段８３９號２樓,"04-25600511",J,I,I,E,I,F,J,G,I,E
E,8473,30,"16608116",聯剛科技股份有限公司,台北巿,台北巿信義路６段３１號２樓,"02-22763239",L,L,J,K,K,K,K,K,K,K
E,8473,31,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
E,8473,32,"96938878",泉志有限公司,臺北市,臺北市信義區基隆路１段１４９號３樓之３,"02-26559222",L,K,L,J,L,J,L,J,L,J
E,8473,33,"53726919",精專生醫股份有限公司,新北市,新北市新莊區五權一路５號８樓之８,"02-22995989",L,L,L,K,L,L,L,L,L,K
E,8473,34,"84939825",世僑企業有限公司,新北市,新北市新店區寶橋路２３５巷１２９號４樓,"02-2915-0486",M,L,M,L,L,L,L,L,L,L
E,8473,35,"28923125",世恩科技有限公司,新竹縣,新竹縣竹北市光明六路東２段２０之５號２樓,"03-6583388",L,K,L,J,L,J,L,J,L,J
E,8473,36,"54518116",金萬益股份有限公司　,新竹縣,新竹縣竹北市台元一街５號１０樓之３　,"03-5600258",L,L,L,J,L,J,L,J,L,J
E,8473,37,"12841871",徠通科技股份有限公司,臺中市,臺中市南屯區精科路２０號,"04-23599688",L,I,L,E,L,A,L,A,L,C
E,8473,38,"27393984",宏楷科技股份有限公司,苗栗縣,苗栗縣竹南鎮科專一路３６８號,"037-586958",L,J,L,F,L,E,L,G,L,F
E,8473,39,"80449396",台灣艾斯股份有限公司,新竹市,新竹市香山區中華路五段３８０號,"03-5304000",L,L,L,K,L,K,M,K,L,K
E,8473,40,"12486062",羅昇企業股份有限公司,新北市,新北市三重區光復路１段８３巷７號２樓,"02-29958400",K,L,I,L,I,L,H,L,I,L
E,8473,41,"13113549",瑞訊科技有限公司,新北市,新北市新店區中興路２段１９０號９樓之２,"02-2912-4201",L,L,L,L,L,L,L,L,M,L
E,8473,42,"54575755",駿昌精密有限公司,臺南市,臺南市善化區文正里陽明路138號1樓,"06-5811041",M,L,L,K,L,J,L,K,M,L
E,8473,43,"28951254",艾科電子有限公司,新北市,新北市汐止區大同路３段２０４號４樓,"02-86471066",M,L,M,L,L,L,L,L,L,M
E,8473,44,"84734999",旭驥資訊股份有限公司,高雄巿,高雄巿左營區正心街一一六號十二樓之三,"07-3465193",M,L,M,L,M,L,M,L,M,L
E,8473,45,"20828393",宏碁股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-26963131",A,K,A,G,A,H,A,D,A,C
E,8473,46,"85036227",宏榫科技有限公司,新北市,新北市樹林區大安路５２４號６樓,"02-89523200",M,L,M,L
E,8473,47,"12936551",安巧有限公司,新北市,新北市新莊區福壽街１２４巷４１弄１８之３號,"02-89921505",M,I,L,H,M,H,M,I,M,J
E,8473,48,"53122489",友誠研展有限公司,臺北市,臺北市文山區忠順街２段８１號,"",M,L,M,L,M,L,M,L,M,L
E,8473,49,"22054562",鋒茂科技股份有限公司,高雄市,高雄市大寮區後庄里鳳屏一路５５７號,"07-7015106",M,L,M,L,M,L,M,L,M,L
E,8473,50,"97469108",慶旺科技股份有限公司,新北市,新北市五股區五權三路２５號５樓,"02-22983636",L,J,L,I,L,H,L,H,L,H
E,8473,51,"80692130",洋碁興業股份有限公司,台北市,台北市松山區八德路４段１６７號１樓,"02-26452035",M,L,L,L,M,L,M,L,M,L
E,8473,52,"89453146",愉進電腦股份有限公司,桃園市,桃園市平鎮區環南路２段２７號１２樓,"03-4952076",M,L,M,L,M,L,M,L,M,L
E,8473,53,"70731423",馳偉電子股份有限公司,新竹縣,新竹縣竹北市台元一街８號３樓之１２,"03-5525825",M,A,L,A,J,A,K,C,L,D
E,8473,54,"68566480",連訊通信股份有限公司,新北市,新北市新店區寶興路４５巷９弄４號５樓,"02-29175598",L,L,K,K,L,L,M,M,M,M
E,8473,55,"80180428",承偉國際股份有限公司,新北市,新北市中和區建一路１５０號１０樓,"02-77315188",A,F,A,A,A,B,A,F,H,J
E,8473,56,"23745973",安企有限公司,台北巿,台北巿松山區南京東路４段１００號６樓,"02-25705252",M,K,L,J,L,I,L,I,L,I
E,8473,57,"96943788",立陽資訊股份有限公司,臺北市,臺北市信義區基隆路２段５１號５樓,"02-27396010",L,M,L,L,L,L,L,L,L,L
E,8473,58,"22616509",欣揚電腦股份有限公司,新北市,新北市三重區光復路１段６１巷２６號１０樓　,"02-85121616",L,H,L,H,L,H,L,I,L,A
E,8473,59,"53591222",翌宏貿易有限公司,高雄市,高雄市鳳山區保泰路２２０巷６７號８樓,"07-7517840",M,L,L,L,L,L,L,L,M,L
E,8473,60,"70468859",世洋科技股份有限公司,臺北市,臺北市內湖區民善街８９號４樓,"02-2796-5888",L,J,J,H,L,G,K,H,K,H
E,8473,61,"28847302",安禾榮國際事業有限公司,台北市,台北市大安區忠孝東路３段２１７巷６弄１６號１樓　,"02-87898855",M,L,M,L,M,M,M,M,M,M
E,8473,62,"16700319",三璟股份有限公司,新北市,新北市土城區復興街１５號,"02-22680286",L,K,L,I,L,J,L,I,L,J
E,8473,63,"80038210",駿豪科技股份有限公司,新北市,新北市新莊區復興路二段２００之２號３樓,"02-89926894",M,M,L,L,L,M,L,L,L,L
E,8473,64,"80503736",建騰創達科技股份有限公司,台北市,台北市內湖區堤頂大道二段４０７巷２０弄１號７樓,"02-8751-2005",K,H,K,A,K,A,K,A,K,A
E,8473,65,"54046101",同星科技股份有限公司,新北市,新北市汐止區大同路２段１５５號１０樓,"02-86926796",B,A,B,A,A,A,C,A,I,D
E,8473,66,"84433699",旺榮股份有限公司,新北市,新北市新店區民權路１０５之２號１樓,"02-22183008",M,M,M,L,M,L,M,L,M,L
E,8473,67,"22099809",智群科技股份有限公司,新竹市,新竹市新竹科學工業園區展業二路１０、１２號３樓,"03-5785161",L,L,L,K,L,K,L,K,L,J
E,8473,68,"54073850",邑騰國際有限公司,臺南市,臺南市後壁區福安里下寮２１０－８號,"06-6372558",M,L,M,L,M,K,M,L,M,L
