"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,8471,1,"28874829",高詮國際有限公司,臺中市,臺中市南屯區永定里７鄰龍富１５路２５號４樓之２　,"04-23821488",L,M,J,L,K,L,K,L,L,L
I,8471,2,"11833655",台灣明尼蘇達礦業製造股份有限公司,臺北市,臺北市南港區經貿二路１９８號３樓至８樓　,"02-27859338",A,A,A,A,A,A,A,A,A,A
I,8471,3,"13111388",台灣明尼蘇達光電股份有限公司,臺南市,臺南市新市區臺南科學工業園區環東路１段３１２號,"02-27049011",A,A,A,A,A,A,A,A,A,A
I,8471,4,"16436867",廣化科技股份有限公司,新竹縣,新竹縣新豐鄉康樂路１段１６９之２號３樓,"03-5577668",L,J,L,E,L,C,L,A,L,C
I,8471,5,"16610746",台員多媒體股份有限公司,新北市,新北市林口區信義路９９號９樓,"02-85118888",L,M,L,M,L,M,K,M,L,M
I,8471,6,"12925724",好科技有限公司,桃園市,桃園市桃園區建國路１２３巷３１號,"02-29569455",M,L,L,L,L,L,L,L,M,L
I,8471,7,"22467276",伍佰科技企業股份有限公司,新北市,新北市新店區民權路１０８號６樓,"02-22184952",L,L,L,L,L,L,L,L,L,L
I,8471,8,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
I,8471,9,"24472275",台灣塞爾克斯應用生技有限公司,臺北市,臺北市內湖區堤頂大道２段８９號３樓,"02-26567952",J,L,G,L,I,M,I,M,I,M
I,8471,10,"22522313",艾波比股份有限公司,臺北市,臺北市內湖區基湖路１８號１０樓,"02-87516090",A,L,A,J,A,K,A,I,A,I
I,8471,11,"30961216",美商亞培股份有限公司台灣分公司,臺北市,臺北市中山區民生東路３段５１號６樓及４９號５樓、６樓,"02-2505-0828",A,L,A,L,A,M,A,M,A,M
I,8471,12,"27967047",台灣雅培醫療器材有限公司,臺北市,臺北市內湖區瑞光路４０７號５樓,"02-27978998",D,M,A,M,A,L,A,M,A,L
I,8471,13,"53653958",瑞士商艾伯維藥品有限公司台灣分公司,臺北市,臺北市中山區民生東路３段４９、５１號１５樓,"02-25039818",A,L,A,L,A,L,A,L,A,L
I,8471,14,"11394902",佳能企業股份有限公司,新北市,新北市新莊區中環路３段２００號１８樓,"02-85229788",J,K,J,L,J,L,K,K,K,K
I,8471,15,"16621440",佳能國際股份有限公司,臺北市,臺北市信義區東興路３７號２樓,"02-87683658",L,M,L,M,L,L,L,M,L,M
I,8471,16,"70722058",浩碩科技股份有限公司,桃園市,桃園市中壢區自強一路１１號,"03-4628567",L,I,J,F,J,E,K,D,J,G
I,8471,17,"16130774",兆勁科技股份有限公司竹南分公司,苗栗縣,苗栗縣竹南鎮公義里友義路七七號,"037-580777",B,A,A,A,B,A,C,A,G,A
I,8471,18,"12206203",銘旺科技股份有限公司,桃園市,桃園市中壢區自強四路９號,"03-452-6136",J,L,J,L,K,M,K,M,K,L
I,8471,19,"24718812",關於時間科技股份有限公司,新北市,新北市汐止區新台五路１段９７號１４樓之１２,"02-26498815",L,M,L,M,L,M,L,M,L,M
I,8471,20,"86386290",歐科商業電訊股份有限公司,臺北市,臺北市南港區三重路１９之１３號８樓,"02-26550198",L,M,J,L,J,M,J,L,J,M
I,8471,21,"69547791",艾泊科技有限公司,桃園市,桃園市桃園區中正路１２４９號１０樓之３,"03-3586656",L,L,L,L,L,L,L,L,M,M
I,8471,22,"12341051",康舒科技股份有限公司,臺北巿,臺北巿松山區南京東路５段９９號１１樓,"26217672",A,A,A,A,A,A,A,A,A,A
I,8471,23,"54396520",香港商愛珂亞洲有限公司台灣分公司　　　,臺北市,臺北市內湖區瑞光路３１６巷５０號３樓,"02-87971618",L,M,L,M,L,M,L,M,L,M
I,8471,24,"16608116",聯剛科技股份有限公司,台北巿,台北巿信義路６段３１號２樓,"02-22763239",L,L,J,K,K,K,K,K,K,K
