"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,8517,1,"80510820",三迪光電股份有限公司,新北市,新北市三重區重新路５段６４６號３樓,"02-29023868",M,L,L,L,L,I,L,H,L,G
E,8517,2,"54671504",展綠科技股份有限公司,臺北市,臺北市中山區松江路２８３號５樓,"02-27362529",L,L,L,L,L,L,L,M,M,M
E,8517,3,"54251432",思碩網路科技有限公司,桃園市,桃園市桃園區中正路１２４７號１１樓之２,"0939234690",M,L,M,L,M,L,M,L,M,L
E,8517,4,"16436867",廣化科技股份有限公司,新竹縣,新竹縣新豐鄉康樂路１段１６９之２號３樓,"03-5577668",L,J,L,E,L,C,L,A,L,C
E,8517,5,"97351852",善元科技股份有限公司,桃園市,桃園市龜山區民生北路一段５７６，５７８號２樓,"03-3214556",H,L,A,L,H,L,F,L,C,L
E,8517,6,"13118903",傳象科技股份有限公司,臺北市,臺北市松山區復興北路３６７號５樓,"02-27187000",M,L,L,L,L,J,L,J,L,I
E,8517,7,"24221469",艾比喜有限公司,新北市,新北市新莊區新樹路２５８巷５之１０號１樓,"02-28330082",M,L,M,L,M,L,M,L,M,L
E,8517,8,"89541514",雙亨機電有限公司,桃園市,桃園市楊梅區楊梅里新梅六街７號,"03-4755548",L,K,L,I,L,I,L,J,L,K
E,8517,9,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
E,8517,10,"45011782",千如電機工業股份有限公司,桃園市,桃園市楊梅區水美里楊湖路一段四二二號,"03-4788088",C,I,A,E,A,D,A,D,A,E
E,8517,11,"29167268",能遠國際股份有限公司,新北市,新北市汐止區康寧街１６９巷２７號１３樓之２,"02-26923636#807",L,D,J,A,I,A,L,A,L,A
E,8517,12,"24289973",愛伯達股份有限公司,臺北市,臺北市大安區信義路二段１３０之１號１１樓之３,"02-23518559",L,L,L,L,L,K,M,K,M,L
E,8517,13,"11394902",佳能企業股份有限公司,新北市,新北市新莊區中環路３段２００號１８樓,"02-85229788",J,K,J,L,J,L,K,K,K,K
E,8517,14,"16130774",兆勁科技股份有限公司竹南分公司,苗栗縣,苗栗縣竹南鎮公義里友義路七七號,"037-580777",B,A,A,A,B,A,C,A,G,A
E,8517,15,"86386290",歐科商業電訊股份有限公司,臺北市,臺北市南港區三重路１９之１３號８樓,"02-26550198",L,M,J,L,J,M,J,L,J,M
E,8517,16,"24365578",亞邦科技股份有限公司,臺北市,臺北市內湖區南京東路６段４６１號６樓,"02-27901213",M,M,M,L,M,M,M,L,M,L
E,8517,17,"86876254",大曄科技有限公司,台北巿,台北巿八德路３段２４７號３樓之１,"02-27782751",M,M,M,L,M,K,M,L,M,L
E,8517,18,"86229428",祥碁實業有限公司,新北市,新北市新店區新坡一街１８巷１弄７號１樓,"02-29101228",L,L,L,K,L,J,L,L,L,L
E,8517,19,"12970591",利滙科技股份有限公司,臺中市,臺中市大雅區中清路三段８３９號２樓,"04-25600511",J,I,I,E,I,F,J,G,I,E
E,8517,20,"30909991",晶曄有限公司,台北巿,台北巿仁愛路四段３９８號８樓,"02-27044503",M,L,M,K,M,K,M,K,M,K
E,8517,21,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
E,8517,22,"53478740",精準通訊股份有限公司,新竹縣,新竹縣竹北市縣政三街３１號４樓,"03-5550511",M,M,M,L,M,M,M,M,M,M
E,8517,23,"28923125",世恩科技有限公司,新竹縣,新竹縣竹北市光明六路東２段２０之５號２樓,"03-6583388",L,K,L,J,L,J,L,J,L,J
E,8517,24,"54518116",金萬益股份有限公司　,新竹縣,新竹縣竹北市台元一街５號１０樓之３　,"03-5600258",L,L,L,J,L,J,L,J,L,J
E,8517,25,"13113549",瑞訊科技有限公司,新北市,新北市新店區中興路２段１９０號９樓之２,"02-2912-4201",L,L,L,L,L,L,L,L,M,L
E,8517,26,"54103854",筑波租賃股份有限公司,新竹縣,新竹縣竹北市台元街２８號２樓之２,"03-5525633",L,L,L,L,L,L,L,L,L,L
E,8517,27,"20828393",宏碁股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-26963131",A,K,A,G,A,H,A,D,A,C
E,8517,28,"24778249",宏碁通信股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-27195000",L,L,L,M,L,M,M,L,L,M
E,8517,29,"70731423",馳偉電子股份有限公司,新竹縣,新竹縣竹北市台元一街８號３樓之１２,"03-5525825",M,A,L,A,J,A,K,C,L,D
E,8517,30,"68566480",連訊通信股份有限公司,新北市,新北市新店區寶興路４５巷９弄４號５樓,"02-29175598",L,L,K,K,L,L,M,M,M,M
E,8517,31,"89404624",香港商雅凱電腦語音有限公司台灣分公司,臺北市,臺北市松山區南京東路４段１４３號１０樓,"02-27135355",L,L,L,L,L,L,L,L,L,L
E,8517,32,"22616509",欣揚電腦股份有限公司,新北市,新北市三重區光復路１段６１巷２６號１０樓　,"02-85121616",L,H,L,H,L,H,L,I,L,A
E,8517,33,"24399520",群登科技股份有限公司,桃園市,桃園市桃園區復興路２０７號３樓之１,"03-2868388",L,L,L,J,L,J,L,J,L,I
E,8517,34,"25126456",行動力國際股份有限公司,臺北市,臺北市大同區甘谷街３５號４樓之３,"02-25595216",L,K,L,J,J,I,I,I,K,J
E,8517,35,"80503736",建騰創達科技股份有限公司,台北市,台北市內湖區堤頂大道二段４０７巷２０弄１號７樓,"02-8751-2005",K,H,K,A,K,A,K,A,K,A
E,8517,36,"54046101",同星科技股份有限公司,新北市,新北市汐止區大同路２段１５５號１０樓,"02-86926796",B,A,B,A,A,A,C,A,I,D
E,8517,37,"22099809",智群科技股份有限公司,新竹市,新竹市新竹科學工業園區展業二路１０、１２號３樓,"03-5785161",L,L,L,K,L,K,L,K,L,J
E,8517,38,"54657812",亞果元素國際股份有限公司,臺北市,臺北市大安區忠孝東路4段148號8樓之5,"02-23775650",L,K,J,H,K,H,K,I,K,H
E,8517,39,"12861019",威剛科技股份有限公司,新北市,新北市中和區連城路２５８號１８樓,"02-82280886",A,A,A,A,A,A,A,A,A,A
E,8517,40,"24612888",雅德娜有限公司,臺北市,臺北市松山區南京東路四段１７１號９樓之２,"02-87121882",L,L,L,K,L,L,M,L,M,L
