"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,8473,1,"28720058",三興資通股份有限公司,新北巿,新北巿中和區中正路８８０號１５樓之６,"02-2226-2806",L,L,L,L,L,K,L,J,L,L
I,8473,2,"53211692",三亞科技股份有限公司,新北市,新北市土城區中央路4段2號4樓之3,"02-82213168",J,L,J,L,L,M,L,M,L,M
I,8473,3,"80698628",元祺科技股份有限公司,新北市,新北市蘆洲區光復路９９巷５號,"02-28474730",L,L,L,L,L,K,L,K,L,K
I,8473,4,"11833655",台灣明尼蘇達礦業製造股份有限公司,臺北市,臺北市南港區經貿二路１９８號３樓至８樓　,"02-27859338",A,A,A,A,A,A,A,A,A,A
I,8473,5,"16436867",廣化科技股份有限公司,新竹縣,新竹縣新豐鄉康樂路１段１６９之２號３樓,"03-5577668",L,J,L,E,L,C,L,A,L,C
I,8473,6,"24444932",旭瑞系統科技有限公司,新北市,新北市汐止區伯爵街９６巷２３號４樓,"02-26423987",L,M,L,L,L,M,L,M,L,M
I,8473,7,"42869468",伍碩科技股份有限公司,臺北市,臺北市中山區農安街２７３號６樓之２,"02-25091012",L,M,L,L,M,M,L,M,M,M
I,8473,8,"22895571",亞亨企業有限公司,臺北巿,臺北巿中山北路２段９３巷１５號１樓,"02-25602373",M,L,L,L,M,L,M,L,M,L
I,8473,9,"89620475",亞德美股份有限公司,新北市,新北市中和區建八路１６號６樓之３,"02-82268588",K,L,J,L,J,L,J,L,K,L
I,8473,10,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
I,8473,11,"97164555",愛美達股份有限公司,新北市,新北市汐止區新台五路1段79號20樓之6,"02-2698-9888",L,M,L,M,L,M,J,M,H,M
I,8473,12,"22522313",艾波比股份有限公司,臺北市,臺北市內湖區基湖路１８號１０樓,"02-87516090",A,L,A,J,A,K,A,I,A,I
I,8473,13,"53653958",瑞士商艾伯維藥品有限公司台灣分公司,臺北市,臺北市中山區民生東路３段４９、５１號１５樓,"02-25039818",A,L,A,L,A,L,A,L,A,L
I,8473,14,"45011782",千如電機工業股份有限公司,桃園市,桃園市楊梅區水美里楊湖路一段四二二號,"03-4788088",C,I,A,E,A,D,A,D,A,E
I,8473,15,"24289973",愛伯達股份有限公司,臺北市,臺北市大安區信義路二段１３０之１號１１樓之３,"02-23518559",L,L,L,L,L,K,M,K,M,L
I,8473,16,"97489483",大訊科技股份有限公司,桃園市,桃園市八德區長安街３０６號,"03-3759000",A,A,A,A,A,A,A,A,A,A
I,8473,17,"16444732",盈正豫順電子股份有限公司,新北市,新北市新店區寶高路７巷３號１樓,"02-2917-6857",F,H,A,F,A,E,A,F,A,G
I,8473,18,"70722058",浩碩科技股份有限公司,桃園市,桃園市中壢區自強一路１１號,"03-4628567",L,I,J,F,J,E,K,D,J,G
I,8473,19,"16130774",兆勁科技股份有限公司竹南分公司,苗栗縣,苗栗縣竹南鎮公義里友義路七七號,"037-580777",B,A,A,A,B,A,C,A,G,A
I,8473,20,"23298762",龍庭資訊有限公司,臺北市,臺北市南港區福德街３７３巷４５號１０樓,"02-26542133",L,M,L,M,L,M,L,M,L,M
I,8473,21,"28398868",眾里科技股份有限公司　,新北市,新北市新莊區五權二路２４號５樓之４,"02-22988170",K,J,J,I,J,I,J,H,J,I
I,8473,22,"12341051",康舒科技股份有限公司,臺北巿,臺北巿松山區南京東路５段９９號１１樓,"26217672",A,A,A,A,A,A,A,A,A,A
I,8473,23,"86229428",祥碁實業有限公司,新北市,新北市新店區新坡一街１８巷１弄７號１樓,"02-29101228",L,L,L,K,L,J,L,L,L,L
I,8473,24,"12970591",利滙科技股份有限公司,臺中市,臺中市大雅區中清路三段８３９號２樓,"04-25600511",J,I,I,E,I,F,J,G,I,E
I,8473,25,"54396520",香港商愛珂亞洲有限公司台灣分公司　　　,臺北市,臺北市內湖區瑞光路３１６巷５０號３樓,"02-87971618",L,M,L,M,L,M,L,M,L,M
I,8473,26,"16608116",聯剛科技股份有限公司,台北巿,台北巿信義路６段３１號２樓,"02-22763239",L,L,J,K,K,K,K,K,K,K
I,8473,27,"28901889",台灣東京精密股份有限公司,新竹縣,新竹縣竹北市中和街１９９號２樓,"03-5531300",A,M,A,L,A,L,A,L,A,L
I,8473,28,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
I,8473,29,"25147987",綜順國際有限公司,臺北市,臺北市中山區民族東路５００號１樓,"02-25014001",K,L,J,L,K,M,J,M,K,L
I,8473,30,"54518116",金萬益股份有限公司　,新竹縣,新竹縣竹北市台元一街５號１０樓之３　,"03-5600258",L,L,L,J,L,J,L,J,L,J
I,8473,31,"66584758",嘉隼國際有限公司,新北市,新北市新莊區新北大道三段５號６樓之３,"02-85216035",L,L,L,L,L,L,L,L,M,M
I,8473,32,"27393984",宏楷科技股份有限公司,苗栗縣,苗栗縣竹南鎮科專一路３６８號,"037-586958",L,J,L,F,L,E,L,G,L,F
I,8473,33,"86832876",董元企業股份有限公司,桃園市,桃園市八德區開隆街４６號,"03-2173668",L,M,L,L,L,L,L,M,L,M
I,8473,34,"20828393",宏碁股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-26963131",A,K,A,G,A,H,A,D,A,C
I,8473,35,"24778249",宏碁通信股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-27195000",L,L,L,M,L,M,M,L,L,M
I,8473,36,"42623036",鴻翔兄弟股份有限公司,臺北市,臺北市南港區園區街３號１１樓之３,"02-26557997#212",L,K,L,I,L,J,L,K,L,L
I,8473,37,"16871299",穎佳企業股份有限公司,臺南市,臺南市仁德區保安里民生路１２號,"06-2663737",L,J,L,F,L,F,L,G,L,G
I,8473,38,"54053910",艾客美有限公司,新北市,新北市土城區忠承路１１９號１１樓,"02-22689171",L,M,K,M,L,M,L,M,K,M
I,8473,39,"97469108",慶旺科技股份有限公司,新北市,新北市五股區五權三路２５號５樓,"02-22983636",L,J,L,I,L,H,L,H,L,H
I,8473,40,"70454594",安科國際有限公司,臺北市,臺北市信義區基隆路一段４３２號１１樓之５,"02-27227926",L,M,M,M,M,M,M,M,L,M
I,8473,41,"80180428",承偉國際股份有限公司,新北市,新北市中和區建一路１５０號１０樓,"02-77315188",A,F,A,A,A,B,A,F,H,J
I,8473,42,"23745973",安企有限公司,台北巿,台北巿松山區南京東路４段１００號６樓,"02-25705252",M,K,L,J,L,I,L,I,L,I
I,8473,43,"28102936",艾可技術工程有限公司,新北市,新北市樹林區大安路５４４號９樓,"2683-3735",L,L,L,K,L,K,L,K,L,K
I,8473,44,"22616509",欣揚電腦股份有限公司,新北市,新北市三重區光復路１段６１巷２６號１０樓　,"02-85121616",L,H,L,H,L,H,L,I,L,A
I,8473,45,"25126456",行動力國際股份有限公司,臺北市,臺北市大同區甘谷街３５號４樓之３,"02-25595216",L,K,L,J,J,I,I,I,K,J
I,8473,46,"80038210",駿豪科技股份有限公司,新北市,新北市新莊區復興路二段２００之２號３樓,"02-89926894",M,M,L,L,L,M,L,L,L,L
I,8473,47,"54138973",漢威精密有限公司,臺中市,臺中市神岡區前寮路３４之２號　,"04-25242676",L,M,L,M,L,M,L,M,L,M
I,8473,48,"54046101",同星科技股份有限公司,新北市,新北市汐止區大同路２段１５５號１０樓,"02-86926796",B,A,B,A,A,A,C,A,I,D
I,8473,49,"23724647",三匠科技股份有限公司,新北市,新北市中和區連城路一九二之一號二樓,"02-82421111",L,L,L,L,L,L,L,L,L,K
I,8473,50,"84354060",哲固資訊科技股份有限公司,桃園市,桃園市蘆竹區新莊村大興路二十巷二十一弄十一號三樓,"03-3135577",J,F,H,A,G,A,G,A,H,A
I,8473,51,"24627897",愛笛科技有限公司,新竹縣,新竹縣竹北市隘口一街２０８號一樓,"03-6681852",L,L,K,L,I,L,K,L,J,L
I,8473,52,"28722627",宸鋒科技股份有限公司,新北市,新北市中和區宜安路１巷３０弄４之２號,"02-29404002",L,L,J,L,J,L,J,L,I,L
I,8473,53,"12861019",威剛科技股份有限公司,新北市,新北市中和區連城路２５８號１８樓,"02-82280886",A,A,A,A,A,A,A,A,A,A
I,8473,54,"53662422",比利時商艾迪比有限公司台灣分公司,臺北市,臺北市大安區復興南路二段２８３號６樓,"02-27039977",L,M,J,M,I,M,J,M,L,L
I,8473,55,"28475082",雅福科技有限公司,新北市,新北市蘆洲區永康街58號6樓,"02-28346168",L,L,L,L,M,L,M,L,M,L
I,8473,56,"23136182",怡德視訊股份有限公司,台北巿,台北巿大安區建國南路１段３３６號４樓,"02-2707-7707",J,M,J,M,I,M,K,M,J,M
I,8473,57,"89601934",廣耘企業有限公司,臺北巿,臺北巿大安區新生南路３段１０之２號７樓　　　　　　　　,"02-23686355",L,L,L,K,L,K,L,K,L,K
I,8473,58,"24612888",雅德娜有限公司,臺北市,臺北市松山區南京東路四段１７１號９樓之２,"02-87121882",L,L,L,K,L,L,M,L,M,L
I,8473,59,"42618293",科數愛璐股份有限公司,臺北市,臺北市萬華區成都路139號7樓之7,"02-23319132",L,L,L,M,J,L,K,M,L,M
I,8473,60,"24708700",鴻鐽國際有限公司,新北市,新北市汐止區新台五路１段７７號６樓之７,"02-26989258",L,M,L,M,L,M,L,M,L,M
I,8473,61,"86928099",香港商愛迪達採購有限公司台灣分公司,臺北市,臺北市內湖區基湖路３７號４樓,"02-87510055",L,M,L,M,L,M,L,M,L,M
I,8473,62,"24337222",匯宏科技股份有限公司,臺北市,臺北市內湖區新湖二路３４５號６樓,"02-27911718",L,L,L,L,L,L,L,L,L,L
I,8473,63,"89593343",凌華科技股份有限公司,新北市,新北市中和區建一路一六六號九樓．九樓之一．之二．之三　　,"02-82265877",A,A,A,A,A,A,A,A,A,A
I,8473,64,"28742601",微創數位科技有限公司,桃園市,桃園市桃園區新埔六街７７號１２樓之３,"03-3460756",L,L,L,L,L,L,L,L,L,L
I,8473,65,"53101132",煥德科技股份有限公司,臺北市,臺北市大安區仁愛路４段１０９號５樓,"02-27721181",L,I,J,G,L,E,L,E,L,D
I,8473,66,"54314984",昇隆電子科技有限公司,新北市,新北市汐止區新昌路７５號２樓,"02-26412435",L,M,L,M,L,M,L,M,L,M
I,8473,67,"16443570",璟德電子工業股份有限公司,新竹縣,新竹縣湖口鄉自強路１６號,"03-5987008",C,A,F,A,E,A,A,A,G,A
I,8473,68,"27364398",聯瑞科技股份有限公司,臺北市,臺北市中山區長安東路1段18號12樓,"02-25222122",K,M,I,M,D,M,C,M,H,M
I,8473,69,"84354765",騰錄科技股份有限公司,新北市,新北市中和區建一路２４９號５樓,"02-2226-6332",M,K,K,K,K,K,L,L,L,L
I,8473,70,"96856411",易鼎股份有限公司,桃園市,桃園市中壢區松江南路１號,"03-4627101",L,F,K,A,L,A,L,A,L,A
I,8473,71,"80468415",漢辰科技股份有限公司,新竹縣,新竹縣新竹科學工業園區研新一路１８號５樓,"03-5797711",D,E,C,G,A,H,A,G,D,E
I,8473,72,"09435569",浩威電子股份有限公司,臺北市,臺北市南港區研究院路２段１６５號１樓,"02-26547215",K,M,K,M,L,M,K,M,K,M
I,8473,73,"27722825",鴻海光電科技有限公司,臺北市,臺北市中正區忠孝東路２段１００號７樓之６,"02-2356-8133",K,J,J,I,L,I,L,F,L,E
I,8473,74,"22721973",惠虹光電科技有限公司,臺北巿,臺北巿吉林路１４巷１８之１號２樓,"02-25373389",I,L,G,L,G,L,I,L,J,L
I,8473,75,"53499956",艾比精密科技企業有限公司,臺南市,臺南市安平區怡平里慶平路３８６號４樓之１,"06-5938002",L,M,L,M,L,M,L,M,L,M
I,8473,76,"70848839",日月光半導體製造股份有限公司中壢分公司,桃園市,桃園市中壢區復華里中華路１段５５０號,"03-4527121",A,A,A,A,A,A,A,A,A,A
I,8473,77,"76027628",日月光半導體製造股份有限公司,高雄巿,高雄巿楠梓加工出口區經三路２６號,"07-3617131",A,A,A,A,A,A,A,A,A,A
