"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,4011,1,"24797576",貝里斯商越將國際股份有限公司台灣分公司,臺中市,臺中市西屯區市政北二路２９號２４樓之１　,"",M,K,M,J,M,J,M,J,M,J
E,4011,2,"54371859",香港商亞瑟有限公司台灣分公司,臺北市,臺北市松山區南京東路三段２８７號１１樓,"02-27402214",L,A,L,A,L,A,L,A,L,A
E,4011,3,"04497100",越晟貿易有限公司,台北巿,台北巿仁愛路四段１１２巷５０號１樓,"02-27020114-6",L,K,L,I,L,H,M,H,L,H
E,4011,4,"27641128",雍御企業股份有限公司,臺南市,臺南市關廟區埤頭里關新路一段288號,"06-595-3689",K,F,I,A,J,A,I,A,J,A
E,4011,5,"12329578",伍祥貿易股份有限公司,臺北市,臺北市大安區復興南路１段３８０號１０樓之１,"02-2703-0549",L,H,L,A,M,A,L,D,L,F
E,4011,6,"60274518",見誠工業股份有限公司,彰化縣,彰化縣溪湖鎮彰水路４段４３９巷１４６號,"048-850006",C,B,A,H,A,J,A,J,A,I
E,4011,7,"27837093",特耐橡膠工業有限公司,彰化縣,彰化縣社頭鄉里仁村員集路一段１１號,"04-8739001",K,J,J,F,J,F,J,F,J,C
E,4011,8,"86684782",香港商曄欣股份有限公司台灣分公司,台中巿,台中巿北區文心路４段２０８之１號３樓之１,"04-22967960",L,F,L,B,L,B,L,C,L,D
E,4011,9,"25042962",鴻鎰健康科技有限公司,臺中市,臺中市西區公館路１１１號２、３樓,"0916167737",M,L,M,J,L,K,M,M,L,L
E,4011,10,"80621419",宏佳騰動力科技股份有限公司,臺南市,臺南市山上區南洲里南洲４１號,"06-5783988",J,C,F,A,C,A,F,A,F,A
E,4011,11,"28913750",阿迪多貿易有限公司,臺中市,臺中市西區吉龍里五權五街１５１號４樓之７,"04-23710880",M,L,M,L,M,L,M,L,L,L
E,4011,12,"28575054",鉅讚國際有限公司,臺中市,臺中市霧峰區四德里四德路４８９之１０號１樓,"04-23338592",M,L,L,L,L,L,L,L,L,L
