"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,8512,1,"51320884",美商億業有限公司台灣分公司,臺南市,臺南市中西區永福路一段１８９號５樓Ｂ３室,"06-2158866",M,H,L,C,M,C,L,G,M,M
E,8512,2,"86863841",仁崴貿易有限公司,臺北巿,臺北巿松山區八德路三段二一九號四樓之二,"02-25787575",M,L,M,L,M,K,M,K,M,L
E,8512,3,"12871255",群格有限公司,台北市,台北市中正區重慶南路一段５７號１１樓之１４,"02-2388-9555",L,K,L,J,L,J,L,J,L,J
E,8512,4,"86731758",威塔國際有限公司,台北巿,台北巿林口街２４巷３８之１號２樓,"02-27590302",M,L,M,K,M,K,M,K,M,K
E,8512,5,"30427410",愛鎂華股份有限公司,台北巿,台北巿大安區忠孝東路４段１８３號５樓之７,"02-27527461-3",K,I,I,E,I,E,I,E,I,F
E,8512,6,"22176827",全美國際有限公司,新北市,新北市中和區建一路１６２號地下１層之１,"02-82263988",L,L,L,L,L,L,L,L,L,L
E,8512,7,"16792540",朱崴國際股份有限公司,台北市,台北市內湖區安康路３２巷１７號５樓,"02-27922727",L,I,L,D,L,F,L,E,L,F
E,8512,8,"54080156",東銘實業有限公司,台南市,台南市北區大豐里大興街３５５巷４４號,"0919141935",M,M,M,L,L,L,L,L,L,L
E,8512,9,"54371859",香港商亞瑟有限公司台灣分公司,臺北市,臺北市松山區南京東路三段２８７號１１樓,"02-27402214",L,A,L,A,L,A,L,A,L,A
E,8512,10,"04497100",越晟貿易有限公司,台北巿,台北巿仁愛路四段１１２巷５０號１樓,"02-27020114-6",L,K,L,I,L,H,M,H,L,H
E,8512,11,"27641128",雍御企業股份有限公司,臺南市,臺南市關廟區埤頭里關新路一段288號,"06-595-3689",K,F,I,A,J,A,I,A,J,A
E,8512,12,"12329578",伍祥貿易股份有限公司,臺北市,臺北市大安區復興南路１段３８０號１０樓之１,"02-2703-0549",L,H,L,A,M,A,L,D,L,F
E,8512,13,"78656329",信豪商行,台南市,台南市南區建南路５７號１樓,"06-3550105",M,L,M,L,M,M,M,M,M,M
E,8512,14,"07641634",璟儒行有限公司,台北巿,台北巿大同區承德路三段２６７號４樓,"02-25979159",L,I,L,E,L,D,L,D,L,D
E,8512,15,"86684782",香港商曄欣股份有限公司台灣分公司,台中巿,台中巿北區文心路４段２０８之１號３樓之１,"04-22967960",L,F,L,B,L,B,L,C,L,D
E,8512,16,"84539052",鼎紘科技有限公司,臺北市,臺北市信義區信義路５段５號,"02-23452669",M,L,L,L,L,L,M,L,L,L
E,8512,17,"42835427",東鈞企業有限公司,臺北市,臺北市信義區信義路四段３７５號７樓之５,"02-87896780",M,L,M,L,M,L,M,L,M,M
E,8512,18,"23304758",天利合企業股份有限公司,新北市,新北市汐止區大安街48號2、3樓及50號2樓,"02-86481688",L,J,L,H,L,F,L,F,L,F
E,8512,19,"70540064",長傑科技股份有限公司,新北市,新北市汐止區新台五路１段９７號２７樓之１０　,"02-26973377",L,K,K,J,J,H,I,E,J,G
E,8512,20,"80621419",宏佳騰動力科技股份有限公司,臺南市,臺南市山上區南洲里南洲４１號,"06-5783988",J,C,F,A,C,A,F,A,F,A
E,8512,21,"80454165",亞速得國際有限公司,彰化縣,彰化縣員林鎮三信里浮圳路二段４０４巷２３弄１５號,"04-8393919",M,J,M,H,L,H,L,H,L,H
E,8512,22,"64958719",特博鹿有限公司,臺南市,臺南市南區新興里西門路一段４７７號２樓,"06-2054370",M,L,M,L,M,L,M,M,M,M
E,8512,23,"53347754",廣豐餘實業有限公司,新北市,新北市新店區民權路８８之５號２樓,"0222192688",L,J,L,G,L,H,L,H,L,I
E,8512,24,"53908256",阿毅輪胎有限公司,高雄市,高雄市苓雅區建國一路１２４號,"07-7277765",L,L,L,L,L,K,L,J,L,J
E,8512,25,"89592267",光甫企業有限公司,台北巿,台北巿大安區基隆路２段１６４號５樓之４,"02-27359569",L,L,L,K,L,K,L,K,L,K
E,8512,26,"22016857",欣徠企業有限公司,台北巿,台北巿忠孝東路２段１００號１２樓,"02-23940841",M,J,M,H,L,G,M,H,M,H
E,8512,27,"82817608",富德汽車零件有限公司,臺北市,臺北市大安區忠孝東路４段１１２號５樓之６,"0970995166",M,L,L,L,M,M,M,M,M,M
E,8512,28,"28224749",冠振有限公司,臺北市,臺北市文山區木柵路１段８９巷１５弄８號４樓,"02-22368799",M,L,M,J,M,I,M,I,M,J
E,8512,29,"16515617",亞力盛有限公司,桃園市,桃園市中壢區三民路一段１５１號１樓,"03-4021445",L,L,L,K,L,K,L,L,L,L
E,8512,30,"23146766",吉答貿易有限公司,臺北巿,臺北巿中山區松江路二七四號六樓,"02-25218050",M,M,M,L,L,L,L,I,L,J
E,8512,31,"12115766",皓得有限公司,臺北巿,臺北巿松山區三民路１０１巷１５號１樓,"02-27622812",M,L,M,L,M,L,M,L,M,L
