"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,8471,1,"82903441",薩摩亞商旺隆發展有限公司臺灣分公司,臺中市,臺中市大雅區二和里雅潭路四段370巷13號5樓,"04-25688746#218",L,F,L,J,M,M,M,M,M,M
E,8471,2,"54251432",思碩網路科技有限公司,桃園市,桃園市桃園區中正路１２４７號１１樓之２,"0939234690",M,L,M,L,M,L,M,L,M,L
E,8471,3,"27988303",口袋移動科技股份有限公司,新北市,新北市板橋區四川路２段１６巷５號６樓,"02-89672909",L,L,L,F,L,I,L,J,L,H
E,8471,4,"16436867",廣化科技股份有限公司,新竹縣,新竹縣新豐鄉康樂路１段１６９之２號３樓,"03-5577668",L,J,L,E,L,C,L,A,L,C
E,8471,5,"24444932",旭瑞系統科技有限公司,新北市,新北市汐止區伯爵街９６巷２３號４樓,"02-26423987",L,M,L,L,L,M,L,M,L,M
E,8471,6,"53691019",喜門史塔雷克股份有限公司,新北市,新北市新店區中興路２段１９０號２樓,"02-77447738",M,L,M,L,L,L,L,L,M,L
E,8471,7,"12925724",好科技有限公司,桃園市,桃園市桃園區建國路１２３巷３１號,"02-29569455",M,L,L,L,L,L,L,L,M,L
E,8471,8,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
E,8471,9,"24289973",愛伯達股份有限公司,臺北市,臺北市大安區信義路二段１３０之１號１１樓之３,"02-23518559",L,L,L,L,L,K,M,K,M,L
E,8471,10,"58029440",塞席爾商強盛貿易有限公司台灣分公司,桃園市,桃園市中壢區青峰路１段５９號３樓,"03-3256201",M,M,M,I,M,L,M,L,M,M
E,8471,11,"97489483",大訊科技股份有限公司,桃園市,桃園市八德區長安街３０６號,"03-3759000",A,A,A,A,A,A,A,A,A,A
E,8471,12,"23047386",東霖電子股份有限公司,新北市,新北市三重區重新路５段６０９巷１６號９樓之１４,"02-29994755",M,L,M,L,M,L,M,L,M,L
E,8471,13,"12206203",銘旺科技股份有限公司,桃園市,桃園市中壢區自強四路９號,"03-452-6136",J,L,J,L,K,M,K,M,K,L
E,8471,14,"16587576",亞邦國際科技股份有限公司,新竹市,新竹市東區光復路２段２８９號１３樓之２,"03-5721959",M,L,L,L,L,I,L,J,L,I
E,8471,15,"82901648",捷鼎系統有限公司,臺北市,臺北市松山區敦化北路170號3樓,"02-77467616",M,L
E,8471,16,"12970591",利滙科技股份有限公司,臺中市,臺中市大雅區中清路三段８３９號２樓,"04-25600511",J,I,I,E,I,F,J,G,I,E
E,8471,17,"30909991",晶曄有限公司,台北巿,台北巿仁愛路四段３９８號８樓,"02-27044503",M,L,M,K,M,K,M,K,M,K
E,8471,18,"16608116",聯剛科技股份有限公司,台北巿,台北巿信義路６段３１號２樓,"02-22763239",L,L,J,K,K,K,K,K,K,K
E,8471,19,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
E,8471,20,"28923125",世恩科技有限公司,新竹縣,新竹縣竹北市光明六路東２段２０之５號２樓,"03-6583388",L,K,L,J,L,J,L,J,L,J
E,8471,21,"54518116",金萬益股份有限公司　,新竹縣,新竹縣竹北市台元一街５號１０樓之３　,"03-5600258",L,L,L,J,L,J,L,J,L,J
E,8471,22,"27393984",宏楷科技股份有限公司,苗栗縣,苗栗縣竹南鎮科專一路３６８號,"037-586958",L,J,L,F,L,E,L,G,L,F
