"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,8708,1,"16139304",蒼莆實業有限公司,臺北市,臺北市中山區長安東路２段２６之１號,"02-25605679",L,M,L,M,I,M,K,M,K,M
I,8708,2,"23282332",ㄧ乙安達小客車租賃有限公司,臺北市,臺北市中山區民生東路１段２９號１０樓之４,"02-28482708",M,M,L,M,L,M,L,M,L,M
I,8708,3,"24919439",一永鉅有限公司,臺南市,臺南市歸仁區高鐵七路１１０巷８號１樓　　,"0989522930",K,M,J,M,J,M,K,M,L,M
I,8708,4,"50774113",太璞國際車業有限公司,臺北市,臺北市北投區崇仁路１段１５８巷１號１樓,"02-28933236",L,M,J,M,K,M,M,M,M,M
I,8708,5,"22176827",全美國際有限公司,新北市,新北市中和區建一路１６２號地下１層之１,"02-82263988",L,L,L,L,L,L,L,L,L,L
I,8708,6,"22522313",艾波比股份有限公司,臺北市,臺北市內湖區基湖路１８號１０樓,"02-87516090",A,L,A,J,A,K,A,I,A,I
I,8708,7,"16792540",朱崴國際股份有限公司,台北市,台北市內湖區安康路３２巷１７號５樓,"02-27922727",L,I,L,D,L,F,L,E,L,F
I,8708,8,"27641128",雍御企業股份有限公司,臺南市,臺南市關廟區埤頭里關新路一段288號,"06-595-3689",K,F,I,A,J,A,I,A,J,A
I,8708,9,"53159387",和益高科股份有限公司,新竹縣,新竹縣新豐鄉忠孝村精工路２９號１樓,"03-5576561",L,M,L,M,L,M,L,M,L,L
I,8708,10,"25147987",綜順國際有限公司,臺北市,臺北市中山區民族東路５００號１樓,"02-25014001",K,L,J,L,K,M,J,M,K,L
I,8708,11,"23738332",衡立貿易有限公司,台北市,台北市民族東路八十六號一樓,"02-25954599",M,M,L,M,L,M,L,M,M,M
I,8708,12,"22191067",艾美貿易股份有限公司,臺北巿,臺北巿松山區南京東路５段２３４號６樓之１,"02-27670000",L,M,J,M,K,M,J,M,K,M
I,8708,13,"56608529",東佶貿易有限公司,嘉義縣,嘉義縣太保市中山路一段２２８巷１９弄１３號２樓,"05-2375862",L,M,L,M,L,M,M,M,M,M
I,8708,14,"42623036",鴻翔兄弟股份有限公司,臺北市,臺北市南港區園區街３號１１樓之３,"02-26557997#212",L,K,L,I,L,J,L,K,L,L
I,8708,15,"53947032",艾偲國際有限公司,臺北市,臺北市大安區忠孝東路４段２９５號３樓,"02-87716266",L,L,L,K,L,K,L,K,L,K
I,8708,16,"70401936",鉅盛國際實業有限公司,高雄市,高雄市鼓山區中華一路８２０號５樓,"07-3486966",L,M,L,L,K,M,K,M,K,M
I,8708,17,"54322859",堯翔國際有限公司,臺北市,臺北市大同區承德路３段２９７號１樓,"0986688088",L,M,L,M,L,M,L,M,L,M
I,8708,18,"28632040",亞得利股份有限公司,新北市,新北市淡水區興仁路３４巷１６號,"02-86311905",L,L,L,L,L,L,L,L,L,L
I,8708,19,"70540064",長傑科技股份有限公司,新北市,新北市汐止區新台五路１段９７號２７樓之１０　,"02-26973377",L,K,K,J,J,H,I,E,J,G
I,8708,20,"22099174",元隆電子股份有限公司,新竹巿,新竹巿新竹科學工業園區東區研發二路１８號,"03-5770033-395",G,C,B,A,A,A,E,A,H,A
I,8708,21,"24340198",新密股份有限公司,臺北市,臺北市大安區仁愛路４段８５號４樓,"02-23259685",M,M,L,L,L,J,L,J,L,M
I,8708,22,"59224293",風神國際有限公司,高雄市,高雄市楠梓區啟昌街４１５號　　,"0913880267",L,M,L,M,L,M,L,M,M,M
I,8708,23,"80621419",宏佳騰動力科技股份有限公司,臺南市,臺南市山上區南洲里南洲４１號,"06-5783988",J,C,F,A,C,A,F,A,F,A
I,8708,24,"23395981",天辰汽車貿易有限公司,新竹巿,新竹巿盤石里西大路６５３號１樓,"03-5250888",L,M,J,M,J,M,J,M,J,M
I,8708,25,"27364854",鴻立科技有限公司,臺北市,臺北市大安區信義路４段１８７號７樓,"02-27051533",K,M,J,M,L,M,L,M,L,M
I,8708,26,"54110378",阿羅騰國際汽車有限公司,彰化縣,彰化縣秀水鄉彰鹿路３６９號,"04-7689556",L,M,L,L,L,L,L,L,L,L
I,8708,27,"28847324",捷達國際實業有限公司,臺北市,臺北市內湖區康寧路３段１６巷４７號,"02-26306611",L,M,L,M,L,M,L,M,L,M
I,8708,28,"04650125",雅勤工業股份有限公司,新北市,新北市三重區光復路２段３９巷１１號１樓,"02-29996015",L,L,L,L,L,L,L,L,L,L
I,8708,29,"97160544",漢翔航空工業股份有限公司,臺中巿,臺中巿西屯區西平里２４鄰漢翔路１號,"04-27020001",A,A,A,A,A,A,A,A,A,A
I,8708,30,"86605719",建興安泰工業股份有限公司,彰化縣,彰化縣溪湖鎮西寮里員鹿路西寮巷２１之７號,"04-8855265",L,A,L,A,L,A,L,A,L,A
I,8708,31,"11381701",亞洲航空股份有限公司,臺南市,臺南市仁德區機場路１０５０號,"06-2681911",A,K,A,H,A,I,A,J,A,K
I,8708,32,"22522453",亞東工業氣體股份有限公司,臺北市,臺北市內湖區瑞光路３９９號７樓　,"02-77342988",H,M,A,M,A,L,B,L,A,L
I,8708,33,"11072509",三福氣體股份有限公司,臺北市,臺北市中山區中山北路二段２１號５樓,"02-2521-4161",A,K,A,J,A,J,A,J,A,J
I,8708,34,"82817608",富德汽車零件有限公司,臺北市,臺北市大安區忠孝東路４段１１２號５樓之６,"0970995166",M,L,L,L,M,M,M,M,M,M
I,8708,35,"21224842",青雲國際科技股份有限公司,新北市,新北市中和區中正路７１６號６樓,"02-82273277",A,L,A,L,A,L,A,K,A,L
