"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,8523,1,"28874829",高詮國際有限公司,臺中市,臺中市南屯區永定里７鄰龍富１５路２５號４樓之２　,"04-23821488",L,M,J,L,K,L,K,L,L,L
E,8523,2,"27988303",口袋移動科技股份有限公司,新北市,新北市板橋區四川路２段１６巷５號６樓,"02-89672909",L,L,L,F,L,I,L,J,L,H
E,8523,3,"27745518",立承系統科技股份有限公司,新北市,新北市板橋區四川路２段１６巷５號７樓,"02-26590389",L,L,M,J,M,L,M,M,M,M
E,8523,4,"24804611",香港商我愛遊戲有限公司台灣分公司,臺中市,臺中市北區新北里一中街１６２之１９號１樓,"04-22255553",M,L,M,K,M,L,M,M,M,M
E,8523,5,"24254806",宇富軒娛樂事業有限公司,新北市,新北市板橋區後埔街２４號１樓,"092863960",L,L,L,L,L,L,L,L,L,L
E,8523,6,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
E,8523,7,"12698468",冠諠實業有限公司,臺北市,臺北市萬華區興寧街９號２樓,"02-22190369",M,M,L,L,L,M,L,L,L,L
E,8523,8,"12206203",銘旺科技股份有限公司,桃園市,桃園市中壢區自強四路９號,"03-452-6136",J,L,J,L,K,M,K,M,K,L
E,8523,9,"84833055",信幃有限公司,彰化縣,彰化縣溪湖鎮平和里行政街１１９巷１８號,"048-854614",M,L,M,L,M,L,M,L,M,L
E,8523,10,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
E,8523,11,"28923125",世恩科技有限公司,新竹縣,新竹縣竹北市光明六路東２段２０之５號２樓,"03-6583388",L,K,L,J,L,J,L,J,L,J
E,8523,12,"54518116",金萬益股份有限公司　,新竹縣,新竹縣竹北市台元一街５號１０樓之３　,"03-5600258",L,L,L,J,L,J,L,J,L,J
E,8523,13,"66584758",嘉隼國際有限公司,新北市,新北市新莊區新北大道三段５號６樓之３,"02-85216035",L,L,L,L,L,L,L,L,M,M
E,8523,14,"27394153",九瑜科技有限公司,新北市,新北市新莊區中和街１９１巷１９號４樓,"02-29928678",M,L,M,I,L,H,L,E,L,G
E,8523,15,"65406756",艾司博得有限公司,新北市,新北市新莊區新崑路141號10樓,"02-26841138",L,L,L,L,L,K,K,L,L,L
E,8523,16,"20828393",宏碁股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-26963131",A,K,A,G,A,H,A,D,A,C
E,8523,17,"53739409",宏碁資訊服務股份有限公司,臺北市,臺北市大安區信義路四段６號９樓,"02-26961234",M,K,M,A,M,A,L,L,L,L
E,8523,18,"42812260",宏點娛樂有限公司　,高雄市,高雄市前鎮區萬和街２６號９樓,"0929108333",M,J,M,J,M,L,M,M,M,M
E,8523,19,"57604000",智聯服務股份有限公司,新竹市,新竹市東區民族路１３９號３樓,"03-5339141",L,L,L,J,L,L,L,M,M,M
E,8523,20,"12936551",安巧有限公司,新北市,新北市新莊區福壽街１２４巷４１弄１８之３號,"02-89921505",M,I,L,H,M,H,M,I,M,J
E,8523,21,"28637988",艾可米科技有限公司,新北市,新北市永和區永和路２段１４７號７樓之３,"02-29237929",L,M,I,L,H,L,F,L,H,L
E,8523,22,"97469108",慶旺科技股份有限公司,新北市,新北市五股區五權三路２５號５樓,"02-22983636",L,J,L,I,L,H,L,H,L,H
E,8523,23,"70731423",馳偉電子股份有限公司,新竹縣,新竹縣竹北市台元一街８號３樓之１２,"03-5525825",M,A,L,A,J,A,K,C,L,D
E,8523,24,"80180428",承偉國際股份有限公司,新北市,新北市中和區建一路１５０號１０樓,"02-77315188",A,F,A,A,A,B,A,F,H,J
E,8523,25,"96943788",立陽資訊股份有限公司,臺北市,臺北市信義區基隆路２段５１號５樓,"02-27396010",L,M,L,L,L,L,L,L,L,L
E,8523,26,"22616509",欣揚電腦股份有限公司,新北市,新北市三重區光復路１段６１巷２６號１０樓　,"02-85121616",L,H,L,H,L,H,L,I,L,A
E,8523,27,"70468859",世洋科技股份有限公司,臺北市,臺北市內湖區民善街８９號４樓,"02-2796-5888",L,J,J,H,L,G,K,H,K,H
E,8523,28,"80503736",建騰創達科技股份有限公司,台北市,台北市內湖區堤頂大道二段４０７巷２０弄１號７樓,"02-8751-2005",K,H,K,A,K,A,K,A,K,A
E,8523,29,"54046101",同星科技股份有限公司,新北市,新北市汐止區大同路２段１５５號１０樓,"02-86926796",B,A,B,A,A,A,C,A,I,D
E,8523,30,"54042533",豐悅國際有限公司,新北市,新北市五股區登林路８１之７號１３樓,"02-27913813",L,L,L,L,L,L,J,K,L,L
E,8523,31,"84354060",哲固資訊科技股份有限公司,桃園市,桃園市蘆竹區新莊村大興路二十巷二十一弄十一號三樓,"03-3135577",J,F,H,A,G,A,G,A,H,A
E,8523,32,"54657812",亞果元素國際股份有限公司,臺北市,臺北市大安區忠孝東路4段148號8樓之5,"02-23775650",L,K,J,H,K,H,K,I,K,H
E,8523,33,"12861019",威剛科技股份有限公司,新北市,新北市中和區連城路２５８號１８樓,"02-82280886",A,A,A,A,A,A,A,A,A,A
E,8523,34,"24570542",傑新科技股份有限公司,臺北市,臺北市內湖區港墘路２００號３樓之１,"02-87973116",K,I,K,F,L,H,L,I,L,J
E,8523,35,"28475082",雅福科技有限公司,新北市,新北市蘆洲區永康街58號6樓,"02-28346168",L,L,L,L,M,L,M,L,M,L
E,8523,36,"89593343",凌華科技股份有限公司,新北市,新北市中和區建一路一六六號九樓．九樓之一．之二．之三　　,"02-82265877",A,A,A,A,A,A,A,A,A,A
E,8523,37,"28742601",微創數位科技有限公司,桃園市,桃園市桃園區新埔六街７７號１２樓之３,"03-3460756",L,L,L,L,L,L,L,L,L,L
E,8523,38,"54397746",日商誠國科技股份有限公司台灣分公司,新北市,新北市中和區連城路２６８號４樓之３,"0935188758",L,L,L,J,L,K,L,K,L,L
E,8523,39,"22532826",明安國際企業股份有限公司,高雄巿,高雄巿小港區中林路二十六號,"07-8721410",H,C,A,A,A,A,A,A,B,A
E,8523,40,"27722825",鴻海光電科技有限公司,臺北市,臺北市中正區忠孝東路２段１００號７樓之６,"02-2356-8133",K,J,J,I,L,I,L,F,L,E
E,8523,41,"89542865",群喬企業有限公司,新北市,新北市中和區建八路２號１０樓之４,"02-2219-8899",L,L,K,L,J,L,J,L,K,M
E,8523,42,"27934258",研華智勤股份有限公司,台北市,台北市內湖區瑞光路２６巷２０弄１號,"02-27927818",L,J,L,E,L,D,B,A,G,A
E,8523,43,"54776541",艾格創新科技有限公司,桃園市,桃園市桃園區藝文一街８６之７號１６樓,"03-3466035",J,L,G,J,E,G,J,J,L,K
E,8523,44,"05155853",研華股份有限公司,台北巿,台北巿內湖區瑞光路２６巷２０弄１號,"02-27927818",A,A,A,A,A,A,A,A,A,A
E,8523,45,"42953520",英屬開曼群島商研華智聯股份有限公司台灣分公司,臺北市,臺北市內湖區瑞光路２６巷２０弄１號,"02-27927818",L,A,L,A,M,A,M,M,M,M
E,8523,46,"55917809",研廣無線物聯股份有限公司,新竹市,新竹市香山區東香里富群街８５巷１８弄１１號,"03-5750806",L,L,L,L,L,L,L,M,M,M
E,8523,47,"42561475",長青生醫科技股份有限公司,桃園市,桃園市八德區榮興路７３巷２４號１樓,"03-3679555",L,L,M,L,L,L,L,M,L,M
E,8523,48,"86238799",利伽實業有限公司,新北市,新北市新店區寶中路九四號六樓之一,"02-29146677",M,L,L,L,M,L,M,L,M,L
E,8523,49,"24350765",翔翼通訊股份有限公司,臺北市,臺北市中正區館前路６號９樓之１,"02-77303111",L,L,L,L,L,L,L,M,L,M
E,8523,50,"54301806",安提國際股份有限公司,新北市,新北市汐止區大同路１段２３７號２樓之１　　,"02-77092568",K,I,I,B,J,E,J,H,L,J
E,8523,51,"96899517",力景勳顥股份有限公司,新北市,新北市中和區中正路７１６號１５樓之６,"02-8227-3701",L,J,L,G,L,G,L,G,L,G
E,8523,52,"12658515",其陽科技股份有限公司,新北市,新北市汐止區大同路２段１３３號９樓,"02-86926677",L,A,J,A,J,A,K,A,J,A
E,8523,53,"27525541",富基電通股份有限公司,臺北市,臺北市南港區南港路3段48號10樓,"02-87893500",A,K,A,L,A,L,A,L,A,G
E,8523,54,"50890128",亞奇雷科技股份有限公司,臺北市,臺北市內湖區堤頂大道1段33號8樓,"02-27937256",G,L,K,L,M,M,M,M,M,M
E,8523,55,"96994977",營邦企業股份有限公司,桃園市,桃園市蘆竹區新莊村大興路２０巷１９弄９號,"03-3138386",A,A,A,A,A,A,A,A,A,A
E,8523,56,"22422601",向暘科技股份有限公司,新北市,新北市汐止區新台五路一段七七號十九樓之四,"02-26983311",L,L,L,L,L,L,L,L,L,L
E,8523,57,"16139472",儀諾電子有限公司,新北市,新北市中和區中正路８０１號３樓,"02-22286761",M,L,M,L,L,L,M,L,M,L
E,8523,58,"27781751",鼎躍科技股份有限公司,臺北市,臺北市內湖區瑞光路１８８巷４６號７樓,"02-87918951",M,I,L,G,M,J,M,L,L,L
E,8523,59,"80067045",安東尼爾科技有限公司,基隆市,基隆市中山區復興路３３４巷２號,"02-24378969",M,M,M,L,M,M,M,M,M,M
E,8523,60,"21224842",青雲國際科技股份有限公司,新北市,新北市中和區中正路７１６號６樓,"02-82273277",A,L,A,L,A,L,A,K,A,L
E,8523,61,"89564065",亞洺有限公司,臺北市,臺北市中正區羅斯福路２段５０號６樓之１,"02-23948128",K,K,J,H,H,E,F,A,G,G
E,8523,62,"82780428",聯漢科技股份有限公司,桃園市,桃園市蘆竹區經國路８９０號４樓,"03-3465059",G,H,C,I,M,M,M,M,M,M
E,8523,63,"12672208",亞立田股份有限公司,臺北市,臺北市中山區樂群二路１８９號８樓之１,"02-22537977",L,L,L,L,L,L,L,L,L,L
E,8523,64,"50975147",全新創意有限公司,新北市,新北市三重區重新路５段６０９巷６號３樓之８,"02-22783176",L,L,L,J,M,M,M,M,M,M
E,8523,65,"97015768",萬潤科技股份有限公司,高雄市,高雄市路竹區南科高雄園區路科十路１號,"06-2343111",L,G,L,F,J,A,L,A,L,A
E,8523,66,"27997056",裕隆行國際運通股份有限公司自由貿易港分公司,桃園市,桃園市大園區航翔路５號７樓之３,"03-3995845",A,A,A,A,A,A,A,A,A,A
E,8523,67,"55891337",鈞得股份有限公司,新竹縣,新竹縣竹北市嘉豐十一路１段１００號１３樓之３,"0988926634",L,L,L,K,M,L,I,L,M,L
E,8523,68,"86159865",百佳泰股份有限公司,台北市,台北市南港區園區街３之１號９樓,"02-2655-7877",J,L,H,L,H,L,H,L,H,L
E,8523,69,"24798821",日商艾美多股份有限公司台北分公司,臺北市,臺北市中山區天祥路５７號２樓,"02-25996022",K,M,I,L,I,L,H,L,F,L
E,8523,70,"12800392",明泰科技股份有限公司,新竹科,新竹科學園區新竹市力行七路8號,"03-5636666-7643",A,A,A,A,A,A,A,A,A,A
E,8523,71,"53827992",傳奇亞太科技有限公司,臺北市,臺北市內湖區洲子街181號8樓,"0226597976",M,L,M,J,L,K,L,K,L,L
E,8523,72,"53623792",昱冠資訊股份有限公司,新竹市,新竹市東區公道五路二段81號1樓,"03-5166797",M,M,M,L,M,L,L,L,L,L
E,8523,73,"52296721",安圖斯科技股份有限公司,新北市,新北市汐止區新台五路1段88號6樓,"02-27195000",K,J,J,H,L,L,M,M,M,M
E,8523,74,"24316471",安克生醫股份有限公司,臺北市,臺北市松山區復興北路１６７號５樓之２,"02-25453697",M,L,L,K,L,K,L,L,M,M
E,8523,75,"42577321",安盛裕有限公司,桃園市,桃園市中壢區民權路二段３２號,"03-4935863",L,L,L,L,L,L,L,L,M,L
E,8523,76,"29185049",台灣阿美特克股份有限公司,新竹市,新竹市公道五路二段１２０號１０樓之５,"03-5750099",K,L,H,J,I,L,J,K,J,L
E,8523,77,"84352008",安費諾亮泰企業股份有限公司,新北市,新北市土城區中央路４段５１號５樓之３,"02-7741-6888",L,I,K,G,J,G,J,F,J,G
E,8523,78,"28517891",聯發光電股份有限公司,新北市,新北市中和區建一路１８６號５樓之３,"02-82269855",L,L,K,J,L,J,L,J,L,I
E,8523,79,"12610506",安仲科技股份有限公司,新竹市,新竹市東區光復路二段１０１號,"03-5613650#219",M,L,M,L,M,M,M,L,M,L
E,8523,80,"42582909",新境數碼科技股份有限公司,新竹市,新竹市香山區美山路１６號１樓　　　,"03-5389521",M,M,M,L,M,K,M,L,M,M
E,8523,81,"11551634",恩德科技股份有限公司,臺北市,臺北市士林區中山北路六段８８號５樓,"02-28376866",K,F,I,A,I,A,J,A,I,A
E,8523,82,"27638046",晶心科技股份有限公司,新竹科,新竹科學園區新竹市力行一路１號３樓Ａ１－４　　,"03-572-6533",L,L,L,L,L,J,L,L,L,L
