"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,8529,1,"29078174",得安資訊有限公司,臺北市,臺北市大同區環河北路二段１１１號６樓,"02-25960696",L,M,L,M,L,M,M,M,M,M
I,8529,2,"53211692",三亞科技股份有限公司,新北市,新北市土城區中央路4段2號4樓之3,"02-82213168",J,L,J,L,L,M,L,M,L,M
I,8529,3,"27988303",口袋移動科技股份有限公司,新北市,新北市板橋區四川路２段１６巷５號６樓,"02-89672909",L,L,L,F,L,I,L,J,L,H
I,8529,4,"27745518",立承系統科技股份有限公司,新北市,新北市板橋區四川路２段１６巷５號７樓,"02-26590389",L,L,M,J,M,L,M,M,M,M
I,8529,5,"24347137",昇岳科技股份有限公司,新北市,新北市汐止區新台五路１段１１６號２０樓　,"02-26961969",L,L,L,K,L,J,L,K,L,K
I,8529,6,"16139304",蒼莆實業有限公司,臺北市,臺北市中山區長安東路２段２６之１號,"02-25605679",L,M,L,M,I,M,K,M,K,M
I,8529,7,"23989132",展耀股份有限公司,新北市,新北市永和區中正路４１７號３樓,"02-22320272",K,L,J,L,J,L,J,L,J,L
I,8529,8,"89620475",亞德美股份有限公司,新北市,新北市中和區建八路１６號６樓之３,"02-82268588",K,L,J,L,J,L,J,L,K,L
I,8529,9,"42606677",銳泰科技有限公司,桃園市,桃園市蘆竹區興仁路１９２號３樓,"03-4275558",L,M,L,M,M,M,M,M,M,M
I,8529,10,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
I,8529,11,"30961216",美商亞培股份有限公司台灣分公司,臺北市,臺北市中山區民生東路３段５１號６樓及４９號５樓、６樓,"02-2505-0828",A,L,A,L,A,M,A,M,A,M
I,8529,12,"53653958",瑞士商艾伯維藥品有限公司台灣分公司,臺北市,臺北市中山區民生東路３段４９、５１號１５樓,"02-25039818",A,L,A,L,A,L,A,L,A,L
I,8529,13,"11394902",佳能企業股份有限公司,新北市,新北市新莊區中環路３段２００號１８樓,"02-85229788",J,K,J,L,J,L,K,K,K,K
I,8529,14,"16130774",兆勁科技股份有限公司竹南分公司,苗栗縣,苗栗縣竹南鎮公義里友義路七七號,"037-580777",B,A,A,A,B,A,C,A,G,A
I,8529,15,"12341051",康舒科技股份有限公司,臺北巿,臺北巿松山區南京東路５段９９號１１樓,"26217672",A,A,A,A,A,A,A,A,A,A
I,8529,16,"12970591",利滙科技股份有限公司,臺中市,臺中市大雅區中清路三段８３９號２樓,"04-25600511",J,I,I,E,I,F,J,G,I,E
I,8529,17,"25031584",煒德科技有限公司,新竹縣,新竹縣竹北市嘉仁街１３９巷７號,"03-6573006",L,M,L,L,L,M,L,L,L,L
I,8529,18,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
I,8529,19,"20828393",宏碁股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-26963131",A,K,A,G,A,H,A,D,A,C
I,8529,20,"24778249",宏碁通信股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-27195000",L,L,L,M,L,M,M,L,L,M
I,8529,21,"55214408",宏碁智通股份有限公司,新北市,新北市汐止區新台五路１段９４號２３樓,"02-27195000",L,M,L,M,L,M,M,M,M,M
I,8529,22,"42623036",鴻翔兄弟股份有限公司,臺北市,臺北市南港區園區街３號１１樓之３,"02-26557997#212",L,K,L,I,L,J,L,K,L,L
I,8529,23,"70401936",鉅盛國際實業有限公司,高雄市,高雄市鼓山區中華一路８２０號５樓,"07-3486966",L,M,L,L,K,M,K,M,K,M
I,8529,24,"89206602",進金生實業股份有限公司,臺北市,臺北市內湖區新湖二路２５７號５樓之３,"02-8791-2868",K,L,J,L,J,K,J,I,H,J
I,8529,25,"53116091",豫嘉實業有限公司,臺北市,臺北市北投區裕民六路２號１８樓之２,"0932947259",L,M,L,M,M,M,L,M,L,M
I,8529,26,"25126456",行動力國際股份有限公司,臺北市,臺北市大同區甘谷街３５號４樓之３,"02-25595216",L,K,L,J,J,I,I,I,K,J
I,8529,27,"80503736",建騰創達科技股份有限公司,台北市,台北市內湖區堤頂大道二段４０７巷２０弄１號７樓,"02-8751-2005",K,H,K,A,K,A,K,A,K,A
I,8529,28,"44955117",憶聲電子股份有限公司,桃園市,桃園市中壢區中園路１９８號,"03-4515495",I,M,G,M,D,M,G,M,C,M
I,8529,29,"24660184",穎立科技有限公司,高雄市,高雄市左營區博愛四路２號１１樓之２,"07-3501899",L,M,L,M,K,M,L,L,L,M
I,8529,30,"54046101",同星科技股份有限公司,新北市,新北市汐止區大同路２段１５５號１０樓,"02-86926796",B,A,B,A,A,A,C,A,I,D
I,8529,31,"84354060",哲固資訊科技股份有限公司,桃園市,桃園市蘆竹區新莊村大興路二十巷二十一弄十一號三樓,"03-3135577",J,F,H,A,G,A,G,A,H,A
I,8529,32,"29062124",安克華科技有限公司,臺北市,臺北市內湖區新湖二路１２８號２樓之１,"02-27936021",L,L,L,L,L,L,L,L,L,L
I,8529,33,"12861019",威剛科技股份有限公司,新北市,新北市中和區連城路２５８號１８樓,"02-82280886",A,A,A,A,A,A,A,A,A,A
I,8529,34,"54025470",岳煌科技股份有限公司,新北市,新北市林口區源泉街４１號１樓,"02-26096968",L,M,L,M,L,M,L,M,L,M
I,8529,35,"23136182",怡德視訊股份有限公司,台北巿,台北巿大安區建國南路１段３３６號４樓,"02-2707-7707",J,M,J,M,I,M,K,M,J,M
I,8529,36,"24612888",雅德娜有限公司,臺北市,臺北市松山區南京東路四段１７１號９樓之２,"02-87121882",L,L,L,K,L,L,M,L,M,L
I,8529,37,"80656113",崇奕系統工程股份有限公司,新竹縣,新竹縣寶山鄉明湖五街６巷７號,"03-5203297",M,M,L,M,L,M,L,M,L,M
I,8529,38,"24708700",鴻鐽國際有限公司,新北市,新北市汐止區新台五路１段７７號６樓之７,"02-26989258",L,M,L,M,L,M,L,M,L,M
I,8529,39,"89593343",凌華科技股份有限公司,新北市,新北市中和區建一路一六六號九樓．九樓之一．之二．之三　　,"02-82265877",A,A,A,A,A,A,A,A,A,A
I,8529,40,"28742601",微創數位科技有限公司,桃園市,桃園市桃園區新埔六街７７號１２樓之３,"03-3460756",L,L,L,L,L,L,L,L,L,L
I,8529,41,"54314984",昇隆電子科技有限公司,新北市,新北市汐止區新昌路７５號２樓,"02-26412435",L,M,L,M,L,M,L,M,L,M
I,8529,42,"23817434",銓盛電子股份有限公司,新北市,新北市三重區重新路五段六○九巷十四號四樓之十八,"02-29953100",L,L,K,J,J,K,J,J,J,J
I,8529,43,"24408703",達相科技有限公司,新北市,新北市中和區中正路７３８號１３樓之７,"02-82269882",L,M,L,M,L,M,L,M,L,M
I,8529,44,"80258918",益茂科技股份有限公司,臺北市,臺北市大同區涼州街１之１５號１樓　,"02-25535153",L,M,K,M,L,M,K,M,L,M
I,8529,45,"28114503",筑波醫電股份有限公司,新竹科,新竹科學工業園區新竹縣竹北市生醫二路６６號,"03-5500909#3600",L,M,L,M,M,M,M,M,M,M
I,8529,46,"16443570",璟德電子工業股份有限公司,新竹縣,新竹縣湖口鄉自強路１６號,"03-5987008",C,A,F,A,E,A,A,A,G,A
I,8529,47,"70603031",筑波科技股份有限公司,新竹縣,新竹縣竹北市台元街２８號２樓之１,"03-5525633",I,L,G,L,I,L,I,K,I,L
I,8529,48,"27557058",宇豐光電股份有限公司,臺北市,臺北市內湖區瑞光路７６巷３９號４樓,"02-87918368",L,L,L,K,L,L,L,L,L,L
I,8529,49,"70848839",日月光半導體製造股份有限公司中壢分公司,桃園市,桃園市中壢區復華里中華路１段５５０號,"03-4527121",A,A,A,A,A,A,A,A,A,A
I,8529,50,"76027628",日月光半導體製造股份有限公司,高雄巿,高雄巿楠梓加工出口區經三路２６號,"07-3617131",A,A,A,A,A,A,A,A,A,A
I,8529,51,"46464306",創鑫整合科技有限公司,新北市,新北市林口區隆林街１３號　,"0932640560",L,M,K,M,L,M,L,M,L,M
I,8529,52,"12814136",台控科技股份有限公司,新竹縣,新竹縣竹北市新工二路１９８號４樓,"03-5520088",A,J,A,I,A,A,A,I,A,K
I,8529,53,"68566876",連騰科技股份有限公司,新北市,新北市新店區北新路三段２０７之１號Ｂ２－Ｆ室,"02-29175598#1601",L,L,L,J,L,K,M,M,M,M
I,8529,54,"16130423",宏捷科技股份有限公司,臺南市,臺南市新市區臺南科學工業園區大利一路六號,"06-5050999",B,A,A,A,A,A,H,A,E,A
I,8529,55,"22248651",連展科技股份有限公司,新北市,新北市新店區寶興路４５巷９弄２號３樓,"02-29175598",J,K,I,K,I,L,I,J,I,I
I,8529,56,"05155853",研華股份有限公司,台北巿,台北巿內湖區瑞光路２６巷２０弄１號,"02-27927818",A,A,A,A,A,A,A,A,A,A
I,8529,57,"55976834",安極思科技有限公司,新竹縣,新竹縣竹北市六家五路２段２３８號１樓,"03-5506502",L,M,L,M,L,M,L,M,M,M
I,8529,58,"24977373",翔探科技股份有限公司,新北市,新北市新店區寶興路87巷1號3樓,"02-2918-1380",L,M,L,L,M,M,M,M,M,M
I,8529,59,"97324075",利翔航太電子股份有限公司,新竹巿,新竹巿新竹科學工業園區研發二路３０號２樓,"03-5643912-2171",L,J,I,D,J,E,I,D,K,F
I,8529,60,"96899517",力景勳顥股份有限公司,新北市,新北市中和區中正路７１６號１５樓之６,"02-8227-3701",L,J,L,G,L,G,L,G,L,G
I,8529,61,"70518197",力景科技股份有限公司,新北市,新北市中和區中正路７１６號１４樓之６,"02-66205880",J,L,J,L,J,L,K,L,K,M
I,8529,62,"27525541",富基電通股份有限公司,臺北市,臺北市南港區南港路3段48號10樓,"02-87893500",A,K,A,L,A,L,A,L,A,G
I,8529,63,"56606310",英屬維京群島商安裕諾有限公司台灣分公司,臺南市,臺南市東區東寧路４２９號２樓　,"06-2081600",M,M,L,M,M,M,M,M,M,M
I,8529,64,"70376850",創大裕國際有限公司,臺北市,臺北市中山區松江路４３號８樓之２,"02-29090936",L,M,L,M,L,M,L,M,L,M
I,8529,65,"86325533",宏海微電子股份有限公司,新竹巿,新竹巿東區公道五路２段８３號５樓之１,"(03)516-0188",L,K,L,I,K,H,J,G,J,I
I,8529,66,"54558067",龍星顯示科技股份有限公司,臺南市,臺南市仁德區忠義一街５０號,"06-2792707",H,C,A,A,A,A,E,A,E,A
I,8529,67,"70747570",台灣安捷倫科技股份有限公司,桃園市,桃園市平鎮區高雙路２０號２樓,"03-495-9200",A,M,A,M,A,L,A,L,A,L
