"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,9030,1,"29078174",得安資訊有限公司,臺北市,臺北市大同區環河北路二段１１１號６樓,"02-25960696",L,M,L,M,L,M,M,M,M,M
I,9030,2,"54671504",展綠科技股份有限公司,臺北市,臺北市中山區松江路２８３號５樓,"02-27362529",L,L,L,L,L,L,L,M,M,M
I,9030,3,"28625131",三光科技有限公司,苗栗縣,苗栗縣竹南鎮佳興里２鄰永貞路３段７５號１樓,"037-637448",L,L,L,L,L,L,L,M,L,L
I,9030,4,"11833655",台灣明尼蘇達礦業製造股份有限公司,臺北市,臺北市南港區經貿二路１９８號３樓至８樓　,"02-27859338",A,A,A,A,A,A,A,A,A,A
I,9030,5,"13111388",台灣明尼蘇達光電股份有限公司,臺南市,臺南市新市區臺南科學工業園區環東路１段３１２號,"02-27049011",A,A,A,A,A,A,A,A,A,A
I,9030,6,"16436867",廣化科技股份有限公司,新竹縣,新竹縣新豐鄉康樂路１段１６９之２號３樓,"03-5577668",L,J,L,E,L,C,L,A,L,C
I,9030,7,"16139304",蒼莆實業有限公司,臺北市,臺北市中山區長安東路２段２６之１號,"02-25605679",L,M,L,M,I,M,K,M,K,M
I,9030,8,"89541514",雙亨機電有限公司,桃園市,桃園市楊梅區楊梅里新梅六街７號,"03-4755548",L,K,L,I,L,I,L,J,L,K
I,9030,9,"80620185",晶復科技股份有限公司,桃園市,桃園市八德區長安街１４０之１號,"03-3631901",L,M,L,M,L,M,L,M,L,M
I,9030,10,"23989132",展耀股份有限公司,新北市,新北市永和區中正路４１７號３樓,"02-22320272",K,L,J,L,J,L,J,L,J,L
I,9030,11,"24923573",鋐藤國際貿易有限公司,臺南市,臺南市柳營區人和里柳營路３段２９５－１號,"0980-646397",M,L,L,L,L,L,L,L,M,M
I,9030,12,"80604312",肇昇科技有限公司,臺中市,臺中市南區國光路３６５巷３１弄１３號１樓,"04-22856469",L,L,L,L,L,L,L,L,L,L
I,9030,13,"53113073",研揚科技股份有限公司,新北市,新北市新店區寶橋路２３５巷１３５號５樓,"02-89191234#303",H,A,D,A,B,A,A,A,A,A
I,9030,14,"22522313",艾波比股份有限公司,臺北市,臺北市內湖區基湖路１８號１０樓,"02-87516090",A,L,A,J,A,K,A,I,A,I
I,9030,15,"30961216",美商亞培股份有限公司台灣分公司,臺北市,臺北市中山區民生東路３段５１號６樓及４９號５樓、６樓,"02-2505-0828",A,L,A,L,A,M,A,M,A,M
I,9030,16,"11394902",佳能企業股份有限公司,新北市,新北市新莊區中環路３段２００號１８樓,"02-85229788",J,K,J,L,J,L,K,K,K,K
I,9030,17,"16444732",盈正豫順電子股份有限公司,新北市,新北市新店區寶高路７巷３號１樓,"02-2917-6857",F,H,A,F,A,E,A,F,A,G
I,9030,18,"12341051",康舒科技股份有限公司,臺北巿,臺北巿松山區南京東路５段９９號１１樓,"26217672",A,A,A,A,A,A,A,A,A,A
I,9030,19,"12600752",新階通訊股份有限公司,新北市,新北市中和區碧河里連勝街一七一號五樓,"02-8071-0031",L,M,L,M,L,M,L,M,L,M
I,9030,20,"28901889",台灣東京精密股份有限公司,新竹縣,新竹縣竹北市中和街１９９號２樓,"03-5531300",A,M,A,L,A,L,A,L,A,L
I,9030,21,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
I,9030,22,"25147987",綜順國際有限公司,臺北市,臺北市中山區民族東路５００號１樓,"02-25014001",K,L,J,L,K,M,J,M,K,L
I,9030,23,"23540731",志禾工業股份有限公司,新北市,新北市土城區成功街九號,"02-22683268",L,L,K,L,J,L,K,L,K,L
I,9030,24,"27393984",宏楷科技股份有限公司,苗栗縣,苗栗縣竹南鎮科專一路３６８號,"037-586958",L,J,L,F,L,E,L,G,L,F
I,9030,25,"22108758",鉅基科技股份有限公司,臺中市,臺中市神岡區豐工中路３１號,"04-25209588",L,I,L,E,K,B,L,D,J,E
I,9030,26,"54103854",筑波租賃股份有限公司,新竹縣,新竹縣竹北市台元街２８號２樓之２,"03-5525633",L,L,L,L,L,L,L,L,L,L
I,9030,27,"24778249",宏碁通信股份有限公司,臺北市,臺北市松山區復興北路３６９號７樓之５,"02-27195000",L,L,L,M,L,M,M,L,L,M
I,9030,28,"70401936",鉅盛國際實業有限公司,高雄市,高雄市鼓山區中華一路８２０號５樓,"07-3486966",L,M,L,L,K,M,K,M,K,M
I,9030,29,"97469108",慶旺科技股份有限公司,新北市,新北市五股區五權三路２５號５樓,"02-22983636",L,J,L,I,L,H,L,H,L,H
I,9030,30,"82815411",奔騰智慧生醫股份有限公司,新竹市,新竹市東區光復路一段８９巷１４１號,"",L,M,L,M,M,M,M,M,M,M
I,9030,31,"68566480",連訊通信股份有限公司,新北市,新北市新店區寶興路４５巷９弄４號５樓,"02-29175598",L,L,K,K,L,L,M,M,M,M
I,9030,32,"24399520",群登科技股份有限公司,桃園市,桃園市桃園區復興路２０７號３樓之１,"03-2868388",L,L,L,J,L,J,L,J,L,I
I,9030,33,"53250863",亞克儀器股份有限公司,高雄市,高雄市三民區九如一路５０２號１０樓之２,"07-9738888",L,M,L,M,J,M,J,M,L,M
I,9030,34,"24660184",穎立科技有限公司,高雄市,高雄市左營區博愛四路２號１１樓之２,"07-3501899",L,M,L,M,K,M,L,L,L,M
I,9030,35,"80726080",亞信檢測科技股份有限公司,新北市,新北市中和區中正路９３２號５樓,"02-86471366",L,M,L,M,L,M,L,M,L,M
I,9030,36,"28149849",科宇系統有限公司,新竹縣,新竹縣新豐鄉重興村新庄路２８８號１樓,"03-6586503",L,M,L,M,L,M,L,L,L,L
I,9030,37,"16748101",朋程科技股份有限公司,桃園市,桃園市蘆竹區南崁路二段２２號１樓,"03-3115555",J,A,B,A,D,A,E,A,F,A
I,9030,38,"42617463",祥嘉實業有限公司,臺北市,臺北市大安區光復南路５５６號１１樓之２　　,"02-27034707",M,M,L,M,L,M,L,M,L,M
I,9030,39,"84354060",哲固資訊科技股份有限公司,桃園市,桃園市蘆竹區新莊村大興路二十巷二十一弄十一號三樓,"03-3135577",J,F,H,A,G,A,G,A,H,A
I,9030,40,"24627897",愛笛科技有限公司,新竹縣,新竹縣竹北市隘口一街２０８號一樓,"03-6681852",L,L,K,L,I,L,K,L,J,L
I,9030,41,"12861019",威剛科技股份有限公司,新北市,新北市中和區連城路２５８號１８樓,"02-82280886",A,A,A,A,A,A,A,A,A,A
