"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,5407,1,"82903441",薩摩亞商旺隆發展有限公司臺灣分公司,臺中市,臺中市大雅區二和里雅潭路四段370巷13號5樓,"04-25688746#218",L,F,L,J,M,M,M,M,M,M
E,5407,2,"53480014",鼎祥國際興業有限公司,嘉義市,嘉義市西區福安里德安路１４１號１樓,"05-2348898",M,L,L,H,M,I,L,J,M,J
E,5407,3,"70740648",博源企業有限公司,彰化縣,彰化縣溪州鄉舊眉村中山路四段３８７巷１２５號１樓,"04-8899061",L,L,L,L,L,L,L,L,L,L
E,5407,4,"53857094",越特新科技有限公司,桃園市,桃園市八德區高城八街８６之１號４樓,"03-3708050",M,L,M,L,M,L,M,L,M,L
E,5407,5,"16620385",友邦開發股份有限公司,臺北市,臺北市內湖區港墘路２００號６樓之３,"02-87511550",M,L,M,K,M,K,M,J,M,J
E,5407,6,"34047052",愛富實業有限公司,臺北市,臺北市大安區復興南路１段１２９號１４樓之３,"02-27728579",M,L,M,K,M,K,M,K,M,K
E,5407,7,"80443132",晨洋實業有限公司,桃園市,桃園市中壢區復華七街１７之９號１樓,"03-451-6343",M,L,M,K,M,J,M,K,M,K
E,5407,8,"27831268",臺灣寶欣貿易有限公司,新北市,新北市汐止區茄苳路８８巷６弄２４號３樓,"02-86487472",M,L,M,L,M,L,M,L,M,L
E,5407,9,"28031911",秋民企業有限公司,臺中市,臺中市大甲區文武里和平路２５３巷３３之４號,"04-2683-4637",M,L,M,L,M,J,M,I,L,H
E,5407,10,"84289884",佲陞有限公司,台北市,台北市濟南路二段２３號１樓,"02-2351-0318",L,L,L,K,M,J,M,K,M,J
E,5407,11,"80633196",仲甫企業有限公司,桃園市,桃園市平鎮區中正二路２巷６號,"03-2825156",M,L,M,L,M,L,M,L,M,L
E,5407,12,"23611762",科陽國際企業有限公司,臺北巿,臺北巿北投區懷德街８８號１樓,"02-28233353",M,M,L,L,M,L,M,L,M,L
E,5407,13,"23526739",盛匯實業股份有限公司,新北市,新北市新莊區忠孝街２０號１樓,"02-29983552",M,K,L,J,M,J,M,I,M,I
E,5407,14,"16349580",利三合有限公司,新北市,新北市林口區仁愛路２段３６號１樓,"02-26022625",M,M,M,L,M,L,M,L,M,K
E,5407,15,"53029836",富宇紡織科技企業有限公司,臺中市,臺中市清水區下湳里中山路５２５之１５號,"04-26224516#162",M,J,L,F,L,G,L,H,M,I
E,5407,16,"55699037",偉鼎工業股份有限公司,臺中市,臺中市大甲區武曲里橫圳街１２７號,"04-26875127",M,K,M,I,M,H,M,G,M,F
E,5407,17,"24896908",維瑀國際有限公司,桃園市,桃園市桃園區中正路１２４７號１１樓之１,"03-3268986",L,L,M,K,M,L,L,K,M,K
E,5407,18,"24459370",久弘國際企業股份有限公司,臺北市,臺北市信義區信義路５段５號（６樓６Ｅ１５室）,"02-27237189",M,L,L,L,L,L,M,M,L,L
E,5407,19,"29078842",優聚企業股份有限公司,臺北市,臺北市信義區基隆路２段１４９之１６號５樓,"02-27332996",M,L,M,K,M,K,M,J,M,J
E,5407,20,"16156669",澧陞貿易有限公司,台北市,台北市濟南路二段２３號１樓,"02-2351-0318",M,J,M,J,L,J,M,J,L,J
E,5407,21,"70384774",艾莉爾實業股份有限公司,新北市,新北市五股區五工路１０２號（５樓）,"(02)2290-0678",M,L,M,L,M,M,M,M,M,L
E,5407,22,"27555663",京阜國際實業有限公司,臺北市,臺北市大同區重慶北路３段１５２巷３３號１樓,"02-25941920",M,L,M,L,M,L,M,L,M,L
E,5407,23,"12397049",歐博實業有限公司,新北市,新北市新店區民權路９５號１１樓,"02-22183851~3",M,K,M,J,M,I,M,J,M,J
E,5407,24,"24498129",全新貿易有限公司,臺北市,臺北市大同區貴德街３４之３號,"02-27174976",M,L,M,L,M,L,M,L,M,L
E,5407,25,"84290101",好百傑服飾有限公司,新北市,新北市中和區圓通路３６７巷３３弄３８之１號,"02-22454966",M,L,L,M,M,M,M,M,M,M
E,5407,26,"16151361",冠麟興業股份有限公司,臺北巿,臺北巿中山區龍江路四一五巷二九號三樓,"02-25016777",M,L,M,L,M,L,M,L,M,L
E,5407,27,"80173849",錦詳企業股份有限公司,桃園市,桃園市桃園區中正路１０７１號７樓之４,"03-3168562",M,L,M,L,L,L,L,L,M,J
E,5407,28,"23961893",捷園企業有限公司,臺中市,臺中市北區北平三街７號１樓,"04-2326-2511",M,L,M,J,L,I,M,I,M,J
E,5407,29,"27969087",雅美國際貿易有限公司,台北市,台北市中山區中山北路３段５４之９號５樓,"02-2596-7181",M,M,M,L,M,L,M,L,M,K
E,5407,30,"14077373",辰博國際有限公司,台北巿,台北巿中山區長安東路２段６５號５樓,"02-25162143",M,L,M,L,M,L,M,L,M,L
E,5407,31,"12169988",博鉅股份有限公司,臺北市,臺北市大同區南京西路３５２號６樓,"02-25588155",M,M,M,L,M,L,M,L,L,L
E,5407,32,"22633583",雨正企業有限公司,台北巿,台北巿忠孝東路５段５０８號１８樓之３,"02-27593145",M,L,M,L,M,L,M,L,M,L
E,5407,33,"22563313",安嶸股份有限公司,臺中市,臺中市大里區科技路１６８號７樓之３,"04-24938809",M,L,M,L,M,L,M,L,M,L
E,5407,34,"23233179",安鼎實業股份有限公司,臺中市,臺中市豐原區豐榮里信義街197號,"04-25613017",L,K,L,J,L,J,L,I,L,H
E,5407,35,"23155482",永吉順企業有限公司,台北巿,台北巿南京西路１５５巷２４號１樓,"02-25715667",M,L,M,K,M,L,M,L,M,L
E,5407,36,"84257356",安得利國際有限公司,台北巿,台北巿民生西路５４號９樓,"02-2561-2576",M,L,M,L,L,L,L,L,L,L
E,5407,37,"12323069",世捷集運股份有限公司,臺北市,臺北市松山區敦化北路１６８號６樓,"02-2514-5900",F,L,A,L,A,L,A,L,A,L
E,5407,38,"16914425",冠邦紡織有限公司,新北市,新北市三重區重新路4段244巷14號(1樓),"02-29742808",L,L,M,K,M,K,M,K,M,J
E,5407,39,"89481488",勤圃股份有限公司,臺北巿,臺北巿大安區仁愛路三段一一七之五號三樓,"",M,L,M,K,M,I,M,I,M,J
E,5407,40,"12397890",香港商雅盈有限公司台灣分公司,臺北市,臺北市中山區中山北路三段２７號６樓之６,"02-25861616",M,L,L,L,M,L,M,K,M,K
E,5407,41,"80713563",艾立德企業有限公司,臺北市,臺北市信義區富陽街２０巷３之１號,"02-87327215",M,L,M,J,M,J,M,J,M,J
E,5407,42,"27749697",易遠國際纖維有限公司,台北市,台北市大同區貴德街２２號１樓,"02-25490736",L,L,M,J,M,J,M,J,M,J
E,5407,43,"45047070",藝之華企業股份有限公司,桃園市,桃園市中壢區文化里吉林二路31巷2號4樓,"03-4629525-6",M,L,M,M,M,M,M,M,M,M
E,5407,44,"53953580",禾麥國際實業有限公司,臺北市,臺北市內湖區陽光街１９２號１樓,"02-26592860",M,L,M,L,M,L,M,L,M,L
E,5407,45,"89485111",雅織流行股份有限公司,臺北巿,臺北巿大同區延平北路二段二０二號一０樓之一,"02-25533384",K,B,H,A,I,A,I,A,I,A
E,5407,46,"27775081",亞適國際有限公司,新北市,新北市新莊區新北大道３段５號２２樓之２,"02-85227980",L,K,L,J,L,J,L,J,L,J
E,5407,47,"89953352",豪紳纖維科技股份有限公司,台北巿,台北巿大安區復興南路二段１６６號１１樓,"02-27082136",J,H,I,C,I,C,I,C,I,D
E,5407,48,"56601342",安禾國際股份有限公司,臺北市,臺北市大同區塔城街３９號１０樓,"0936068739",M,M,M,L,M,K,M,L,M,M
E,5407,49,"84774339",亞帝克股份有限公司,台北巿,台北巿內湖區洲子街六十九號六樓,"02-25461099",L,K,L,J,L,J,L,J,L,K
E,5407,50,"84145310",全盛發實業股份有限公司,臺北市,臺北市大同區民族西路７６巷１９號１樓,"02-25950055",M,L,M,L,M,L,M,L,M,L
E,5407,51,"89232101",樓閣股份有限公司,臺北市,臺北市中山區長安東路１段１６號７樓,"03-4795200",M,K,M,I,L,I,L,H,L,H
E,5407,52,"53352995",井澤實業有限公司,臺北市,臺北市松山區民生東路５段２０４號２樓之４,"02-87877867",M,L,M,L,M,L,M,L,M,L
E,5407,53,"55711551",百秀製帽股份有限公司,新北市,新北市汐止區新台五路１段７９號１７樓之１３,"02-26989566",M,L,L,L,L,L,L,L,L,L
E,5407,54,"20981662",香港商貝勒賜有限公司台灣分公司,台北巿,台北巿林森北路５００號５樓之１,"02-25617775",M,L,M,K,M,K,M,J,M,J
E,5407,55,"06004593",倍利開發股份有限公司,彰化縣,彰化縣福興鄉福工路２號,"04-7695147",M,J,M,H,M,I,M,J,M,I
E,5407,56,"36093734",棉品實業股份有限公司,桃園市,桃園市大園區大工路126號,"02-29928855",L,L,L,K,L,K,L,K,L,K
E,5407,57,"84273428",立祝企業有限公司,臺北市,臺北市大同區西寧北路７３號３樓,"02-25561011",M,L,M,K,M,K,M,L,M,K
E,5407,58,"22468015",布將興業有限公司,台北巿,台北巿民生東路５段１５５號４樓,"02-27560467",M,L,M,L,M,L,M,L,L,L
E,5407,59,"86127745",鼎鐘股份有限公司,台北巿,台北巿中山區南京東路２段３６號５樓,"02-2537-1180",L,J,L,G,L,H,L,H,L,H
E,5407,60,"42875861",維澤有限公司,臺中市,臺中市神岡區大漢街７２號,"04-23211868",M,L,M,L,M,L,M,L,M,L
E,5407,61,"23705212",昱侖企業股份有限公司,新北市,新北市新莊區新泰路２２９號１５樓,"02-2997-3778",L,H,K,C,K,D,K,D,L,D
E,5407,62,"23911326",寶結企業有限公司,桃園巿,桃園巿大興西路２段６號１４樓之３,"03-3013900",L,F,L,A,L,A,L,A,L,A
E,5407,63,"13093190",嘉之有限公司,台北市,台北市大同區延平北路１段１０６號８樓,"02-25563612",M,L,M,L,M,L,M,L,M,L
E,5407,64,"22860307",銀儂實業有限公司,台北巿,台北巿民生東路５段１５７號７樓,"02-27629648",M,L,L,J,M,J,M,J,M,J
E,5407,65,"10754891",新進企業社,嘉義縣,嘉義縣義竹鄉龍蛟村１４鄰１２２之２號１樓,"05-3716589",M,L,M,L,M,L,M,L,M,M
E,5407,66,"16035429",必鴻國際貿易有限公司,桃園市,桃園市龜山區振興路５８巷２弄１號１樓,"03-3193662",M,L,M,L,M,L,M,L,M,L
E,5407,67,"22560060",彬利有限公司,新北市,新北市樹林區光武街３６巷２８號,"02-26883772",M,L,M,L,M,L,M,L,M,L
E,5407,68,"28923292",百渤興業有限公司,新北市,新北市新莊區中正路６１４巷６弄１之１號,"02-29017633",M,L,M,L,M,L,M,L,M,L
E,5407,69,"16590328",冠昌紡纖股份有限公司,臺北市,臺北市大同區民樂街９５號１樓,"02-25583239",L,L,L,L,L,L,L,L,L,L
E,5407,70,"80534169",布利擎實業有限公司,臺北市,臺北市中山區民生東路２段１４７巷１１弄１８號３樓,"02-25091798",L,M,L,L,L,L,L,L,K,L
E,5407,71,"12651800",廣豪實業有限公司,台北市,台北市萬華區西藏路５１８號２樓,"02-23042127",M,L,M,L,M,K,M,J,L,J
E,5407,72,"84128635",台灣寶雍股份有限公司,臺北市,臺北市大安區四維路１４巷４之１號１樓,"02-27098321",M,L,M,L,L,L,L,L,L,L
