"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,7219,1,"80315024",亞晉精密有限公司,新北市,新北市三重區中興北街５６之１號,"85123208",L,L,K,F,J,G,L,H,L,J
I,7219,2,"70402490",凜宜股份有限公司,高雄市,高雄市前鎮區擴建路１之３５號４樓,"07-822-8977",L,L,L,K,L,L,L,L,L,L
I,7219,3,"80638501",碩辰科技有限公司,臺南市,臺南市六甲區中正路３３２號１樓,"06-3315261",L,L,L,L,L,L,L,L,L,L
I,7219,4,"86617378",環華工業股份有限公司,新北市,新北市新莊區化成路３５２巷４１號,"02-22772966",M,M,L,M,L,M,L,M,L,M
I,7219,5,"16742182",聯致科技股份有限公司,桃園市,桃園市蘆竹區南山路２段４９８之２號,"03-3246000",L,I,K,G,K,E,K,E,J,D
I,7219,6,"04431804",寶一科技股份有限公司,臺南市,臺南市新營區新工路１３巷１號,"06-6535001",E,D,A,A,A,A,A,A,A,A
I,7219,7,"97160544",漢翔航空工業股份有限公司,臺中巿,臺中巿西屯區西平里２４鄰漢翔路１號,"04-27020001",A,A,A,A,A,A,A,A,A,A
I,7219,8,"13073125",尚智貿易股份有限公司,新竹縣,新竹縣竹北市北崙里縣政十六街３６號１樓,"03-5982916",K,L,I,L,J,L,J,L,K,M
I,7219,9,"11238038",安東貿易股份有限公司,台北巿,台北巿長安西路２０１號,"02-22996755",I,A,D,A,E,A,C,A,E,A
I,7219,10,"69633487",安品士有限公司,桃園市,桃園市中壢區林森里17鄰黃興街97巷2號1樓,"03-4588583",L,L,L,M,M,M,M,M,M,M
I,7219,11,"12878150",亞克迪生股份有限公司,新北市,新北市五股區五工二路116巷7號,"02-89667768",L,I,L,F,K,E,J,E,K,G
I,7219,12,"23224447",台灣盛百股份有限公司,新北市,新北市五股區五股工業區五工一路１１２號,"02-22992849",I,L,C,J,C,J,B,I,D,I
I,7219,13,"08584978",宇盛企業社,台北市,台北市內湖區民權東路６段１２０巷５弄３號４樓,"02-27915929",M,M,L,L,M,L,M,L,M,L
I,7219,14,"80480662",精映科技股份有限公司,臺中市,臺中市西區五廊街４巷３號４樓,"04-22251428",L,M,L,K,L,L,L,L,M,L
I,7219,15,"15891402",柏岱企業有限公司,新北市,新北市土城區承天路７８號,"02-22687698",L,L,L,L,K,L,K,L,K,L
I,7219,16,"28310786",邦旭國際企業有限公司,台中市,台中市南區國光路３６５巷２５號１樓,"04-22857599",L,K,L,I,L,I,L,I,L,J
I,7219,17,"05027350",北爾電子股份有限公司,新北市,新北市新店區中正路５０１之十四、十五號４樓,"02-22183600",F,A,A,A,A,A,A,A,A,A
I,7219,18,"60281855",伸鉅大金屬工業股份有限公司,彰化縣,彰化縣員林鎮員集路２段３３１巷２６號,"04-8343116",M,M,J,M,M,M,M,M,M,L
I,7219,19,"22605209",一甲國際股份有限公司,臺南市,臺南市山上區明和里北勢洲３０之８號,"06-5783847",M,L,L,L,L,K,M,M,M,M
I,7219,20,"10950079",金鈺承企業社,彰化縣,彰化縣芳苑鄉漢寶村芳漢路漢二段２４７巷２１２號　,"09-63318159",L,M,M,L,M,M,M,L,M,M
I,7219,21,"53190042",鉑敦有限公司,新北市,新北市中和區中和路３６２之３號９樓,"02-29287511",L,M,L,M,L,M,L,M,L,M
I,7219,22,"53316274",奔馬電子股份有限公司,臺中市,臺中市西屯區工業區三路２０號,"04-23595568",L,L,K,L,K,M,K,M,L,L
I,7219,23,"97174934",布魯克斯自動化股份有限公司,新竹縣,新竹縣竹北市竹北里台元街３２號５樓之５,"03-552-5258",G,L,A,L,A,L,A,L,A,L
I,7219,24,"80386619",布魯士金屬有限公司,高雄市,高雄市三民區皓東路１０９號１３樓,"07-3922954",L,L,L,K,L,K,L,K,M,K
I,7219,25,"53537298",台灣世天威物流有限公司,臺北市,臺北市信義區基隆路一段２００號６樓,"02-2758-2356",A,M,A,M,A,M,A,M,A,M
I,7219,26,"22985171",益萊工業股份有限公司,桃園市,桃園市蘆竹區新興街１２７號,"03-3173333",L,E,J,A,K,A,K,A,K,A
I,7219,27,"16044855",傑群國際股份有限公司,臺中市,臺中市豐原區豐年路１０９巷１０３之２號,"04-25723003",L,L,K,K,K,J,J,K,K,L
I,7219,28,"43912787",建錩實業股份有限公司,桃園市,桃園市大園區田心里大觀路１７８號,"03-3841688",I,G,I,A,G,A,E,A,F,A
I,7219,29,"11384708",長春人造樹脂廠股份有限公司,高雄市,高雄市大寮區華西路８號,"02-25038131",A,A,A,A,A,A,A,A,A,A
I,7219,30,"79990717",錩鴻國際開發股份有限公司,高雄市,高雄市燕巢區安林二街４８號　　,"07-6160850",K,L,I,K,I,J,I,L,I,L
I,7219,31,"23244513",錩燕金屬工業股份有限公司,高雄市,高雄市燕巢區中竹路２之２０號,"07-6163577",K,M,D,L,L,L,K,J,L,L
I,7219,32,"29137292",長鋒科技股份有限公司,新北市,新北市五股區中興路一段８號６樓之６,"02-89769319",L,M,L,M,M,M,L,M,M,M
I,7219,33,"22946678",振耀特殊鋼股份有限公司,臺南巿,臺南巿西門路四段１２號,"06-2516462",J,M,J,M,I,M,I,M,J,M
